observation_id,formulation_id,batch_id,replicate_id,endpoint,value,unit,observation_noise,source_type,source_file,notes,mechanical_definition_id,detector_version,protocol_id,raw_file_hash,analysis_provenance,metric_definition_id,experimental_role,preparation_id,specimen_id,readout_id,cell_batch_id,mechanical_test_id,mechanical_test_attempted
obs_legacy_lit_1_viability,legacy_lit_1,legacy_literature,legacy,viability_percent,96.0,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_2_viability,legacy_lit_2,legacy_literature,legacy,viability_percent,12.5,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_3_viability,legacy_lit_3,legacy_literature,legacy,viability_percent,77.74,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_4_viability,legacy_lit_4,legacy_literature,legacy,viability_percent,81.43333333333332,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_5_viability,legacy_lit_5,legacy_literature,legacy,viability_percent,84.5,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_6_viability,legacy_lit_6,legacy_literature,legacy,viability_percent,83.0,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_7_viability,legacy_lit_7,legacy_literature,legacy,viability_percent,82.14,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_8_viability,legacy_lit_8,legacy_literature,legacy,viability_percent,69.625,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_9_viability,legacy_lit_9,legacy_literature,legacy,viability_percent,65.48,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
obs_legacy_lit_10_viability,legacy_lit_10,legacy_literature,legacy,viability_percent,63.17777777777778,percent,50.0,legacy_literature,/Users/bait/Documents/ML-for-CryoMN/data/processed/parsed_formulations.csv,Transferred from previous viability-only project.,,,,,,,,,,,,,
