Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(N),(%)
"0.0000","0.0000","0.0003","0.0000"
"0.0250","0.0000","0.0001","0.0000"
"0.0500","0.0000","0.0004","0.0000"
"0.0750","0.0000","0.0011","0.0000"
"0.1000","0.0000","0.0034","0.0000"
"0.1250","0.0001","0.0009","0.0001"
"0.1500","0.0003","-0.0010","0.0003"
"0.1750","0.0004","-0.0016","0.0004"
"0.2000","0.0004","-0.0017","0.0004"
"0.2250","0.0005","0.0011","0.0005"
"0.2500","0.0006","0.0019","0.0006"
"0.2750","0.0007","0.0001","0.0007"
"0.3000","0.0008","0.0005","0.0008"
"0.3250","0.0010","0.0017","0.0010"
"0.3500","0.0012","0.0019","0.0012"
"0.3750","0.0014","0.0003","0.0014"
"0.4000","0.0017","0.0012","0.0017"
"0.4250","0.0021","0.0006","0.0021"
"0.4500","0.0025","0.0017","0.0025"
"0.4750","0.0029","0.0007","0.0029"
"0.5000","0.0035","0.0009","0.0035"
"0.5250","0.0040","0.0014","0.0040"
"0.5500","0.0045","0.0017","0.0045"
"0.5750","0.0050","0.0040","0.0050"
"0.6000","0.0055","0.0042","0.0055"
"0.6250","0.0059","0.0041","0.0059"
"0.6500","0.0063","0.0042","0.0063"
"0.6750","0.0066","0.0042","0.0066"
"0.7000","0.0070","0.0055","0.0070"
"0.7250","0.0073","0.0040","0.0073"
"0.7500","0.0076","0.0050","0.0076"
"0.7750","0.0079","0.0064","0.0079"
"0.8000","0.0082","0.0073","0.0082"
"0.8250","0.0085","0.0073","0.0085"
"0.8500","0.0088","0.0054","0.0088"
"0.8750","0.0091","0.0074","0.0091"
"0.9000","0.0095","0.0080","0.0095"
"0.9250","0.0098","0.0064","0.0098"
"0.9500","0.0101","0.0067","0.0101"
"0.9750","0.0104","0.0066","0.0104"
"1.0000","0.0108","0.0090","0.0108"
"1.0250","0.0111","0.0092","0.0111"
"1.0500","0.0114","0.0077","0.0114"
"1.0750","0.0118","0.0083","0.0118"
"1.1000","0.0121","0.0085","0.0121"
"1.1250","0.0125","0.0082","0.0125"
"1.1500","0.0128","0.0065","0.0128"
"1.1750","0.0131","0.0072","0.0131"
