group,replicate,file,total_cells,alive_cells,viability_pct
1,1,1.1.tif,1163,307,26.40
1,2,1.2.tif,1233,527,42.74
1,3,1.3.tif,1220,444,36.39
1,4,1.4.tif,1153,423,36.69
2,1,2.1.tif,755,81,10.73
2,2,2.2.tif,787,81,10.29
2,3,2.3.tif,1012,234,23.12
2,4,2.4.tif,1203,237,19.70
3,1,3.1.tif,636,123,19.34
3,2,3.2.tif,946,294,31.08
3,3,3.3.tif,668,205,30.69
3,4,3.4.tif,659,161,24.43
4,1,4.1.tif,908,13,1.43
4,2,4.2.tif,1617,47,2.91
4,3,4.3.tif,1235,36,2.91
4,4,4.4.tif,655,9,1.37
5,1,5.1.tif,1124,270,24.02
5,2,5.2.tif,1841,821,44.60
5,3,5.3.tif,1126,392,34.81
5,4,5.4.tif,1440,325,22.57
6,1,6.1.tif,825,304,36.85
6,2,6.2.tif,1299,506,38.95
6,3,6.3.tif,914,230,25.16
6,4,6.4.tif,834,218,26.14
7,1,7.1.tif,758,246,32.45
7,2,7.2.tif,936,381,40.71
7,3,7.3.tif,1431,822,57.44
7,4,7.4.tif,739,164,22.19
8,1,8.1.tif,981,26,2.65
8,2,8.2.tif,2159,284,13.15
8,3,8.3.tif,1381,44,3.19
8,4,8.4.tif,1225,38,3.10
9,1,9.1.tif,925,163,17.62
9,2,9.2.tif,883,227,25.71
9,3,9.3.tif,1503,816,54.29
9,4,9.4.tif,973,131,13.46
X,1,X.1.tif,1084,145,13.38
X,2,X.2.tif,1442,355,24.62
X,3,X.3.tif,3155,1034,32.77
X,4,X.4.tif,1241,169,13.62
XI,1,XI.1.tif,994,97,9.76
XI,2,XI.2.tif,2643,592,22.40
XI,3,XI.3.tif,1665,384,23.06
XI,4,XI.4.tif,1118,113,10.11
XII,1,XII.1.tif,1120,72,6.43
XII,2,XII.2.tif,2707,577,21.32
XII,3,XII.3.tif,2092,515,24.62
XII,4,XII.4.tif,1132,132,11.66
