strategy,model_name,batch_id,formulation_id,stage,evidence,predicted,latent_lower,latent_upper,future_lower,future_upper,is_control,conditioning_ids,calibration_status,actual,evaluation_subset,conditioning_observation_ids,model_version,training_sha256,training_cutoff,created_at
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_75d69addc009,reference_conditioned,historical_forward_refit,40.07155861355298,10.091327877644396,70.05178934946156,10.07531493241321,70.06780229469275,False,"[""v2_e0e6b16a3f20""]",not used,29.2025,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_42188f45e98a,reference_conditioned,historical_forward_refit,40.06436014289364,10.028942376530257,70.09977790925703,10.01295883779678,70.11576144799051,False,"[""v2_e0e6b16a3f20""]",not used,38.805,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_a3cd6cc2afa7,reference_conditioned,historical_forward_refit,40.77817851858582,10.438474844056191,71.11788219311545,10.422651525000834,71.1337055121708,False,"[""v2_e0e6b16a3f20""]",not used,57.3875,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_655729013931,reference_conditioned,historical_forward_refit,39.95277634831892,9.59560395114024,70.30994874549759,9.579789732708871,70.32576296392897,False,"[""v2_e0e6b16a3f20""]",not used,64.9,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_34d667ff4762,reference_conditioned,historical_forward_refit,41.509861619319125,11.205222885941438,71.81450035269681,11.189381267574449,71.8303419710638,False,"[""v2_e0e6b16a3f20""]",not used,63.88,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_db8935ce2c34,reference_conditioned,historical_forward_refit,41.22521379396947,10.9064000385163,71.54402754942265,10.890565822749227,71.55986176518972,False,"[""v2_e0e6b16a3f20""]",not used,61.5875,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_fc5b4c04eee9,reference_conditioned,historical_forward_refit,40.15271731932979,9.797534595128027,70.50790004353155,9.781719340671316,70.52371529798826,False,"[""v2_e0e6b16a3f20""]",not used,56.2875,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_3e8ef993abba,reference_conditioned,historical_forward_refit,40.63670885870351,10.310436317287936,70.96298140011908,10.294605993934624,70.97881172347239,False,"[""v2_e0e6b16a3f20""]",not used,65.5625,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_8a721b7d8f1c,reference_conditioned,historical_forward_refit,40.2625643663438,9.918810043928431,70.60631868875917,9.90298883605844,70.62213989662916,False,"[""v2_e0e6b16a3f20""]",not used,63.9975,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_384020959c42,reference_conditioned,historical_forward_refit,39.81687302752284,10.223898254036555,69.40984780100912,10.207675876228858,69.42607017881681,False,"[""v2_e0e6b16a3f20""]",not used,21.375,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_b2c883db5caf,reference_conditioned,historical_forward_refit,39.7365634974335,9.37915556461147,70.09397143025554,9.363341468814838,70.10978552605216,False,"[""v2_e0e6b16a3f20""]",not used,43.185,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_75d69addc009,before_batch,historical_forward_refit,40.06856965070362,10.088338895918596,70.04880040548865,10.072325950697484,70.06481335070976,False,"[""v2_e0e6b16a3f20""]",not used,29.2025,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_42188f45e98a,before_batch,historical_forward_refit,40.06202935669325,10.026611578872489,70.09744713451401,10.010628040145107,70.1134306732414,False,"[""v2_e0e6b16a3f20""]",not used,38.805,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_a3cd6cc2afa7,before_batch,historical_forward_refit,40.77582915789303,10.436125471839429,71.11553284394662,10.420302152790075,71.13135616299598,False,"[""v2_e0e6b16a3f20""]",not used,57.3875,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_655729013931,before_batch,historical_forward_refit,39.951635084084735,9.594462684188208,70.30880748398127,9.578648465758253,70.32462170241122,False,"[""v2_e0e6b16a3f20""]",not used,64.9,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_34d667ff4762,before_batch,historical_forward_refit,41.50788063476046,11.203241893179882,71.81251937634104,11.187400274817172,71.82836099470376,False,"[""v2_e0e6b16a3f20""]",not used,63.88,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_db8935ce2c34,before_batch,historical_forward_refit,41.22339018759501,10.904576425193763,71.54220394999625,10.888742209430315,71.5580381657597,False,"[""v2_e0e6b16a3f20""]",not used,61.5875,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_fc5b4c04eee9,before_batch,historical_forward_refit,40.150931981789576,9.79574925093628,70.50611471264287,9.779933996483027,70.52192996709613,False,"[""v2_e0e6b16a3f20""]",not used,56.2875,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_3e8ef993abba,before_batch,historical_forward_refit,40.63445907520218,10.308186523214136,70.96073162719023,10.292356199866344,70.97656195053801,False,"[""v2_e0e6b16a3f20""]",not used,65.5625,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_002,v2_8a721b7d8f1c,before_batch,historical_forward_refit,40.25958699330934,9.915832652388024,70.60334133423066,9.900011444527678,70.619162542091,False,"[""v2_e0e6b16a3f20""]",not used,63.9975,matched_nonreference,,,,,
