variant,cohort,n,mae,bias,rmse,r2,interval_95_coverage,interval_95_width,spearman
campaign_bounds_learned,ROUND_003,12,6.062815799872751,-4.162286712096848,7.631062962546035,0.3581162309307082,0.9166666666666666,47.43069421489861,0.5779343363791357
campaign_bounds_learned,ROUND_004,12,15.808528647871702,9.63801458632113,21.356795353208877,-0.26780218519850285,0.6666666666666666,42.0607636033166,0.09090909090909093
campaign_bounds_learned,ROUND_005,12,17.482481853573937,16.299300615816488,21.170312502126805,-0.37447690532890765,0.5833333333333334,43.82931026139317,0.5734265734265735
campaign_bounds_learned,ROUND_006,12,18.766123273877557,10.018945848151809,20.196219511450447,-0.4927091290273453,0.6666666666666666,44.681074257539514,0.3356643356643357
campaign_bounds_learned,ROUND_007,12,14.518984341937392,11.431745155435939,17.06202231856898,0.1010343853074348,0.75,47.85104951458347,0.7762237762237763
campaign_bounds_learned,ROUND_008,12,17.296670318053927,15.206666179143014,18.883720171694282,-1.7510986497081928,0.75,54.64393325033765,0.6713286713286714
campaign_existing,ROUND_003,12,7.150968470278478,0.205876513672511,8.15499178936566,0.26695037383760956,0.9166666666666666,57.67390440808251,0.6164632921377448
campaign_existing,ROUND_004,12,16.997666821074237,9.361785590286162,22.0480493143232,-0.3512000944158633,0.75,51.427346295487276,-0.06993006993006995
campaign_existing,ROUND_005,12,17.37269497159691,15.218229307727801,20.43260265502022,-0.2803546656135789,0.75,57.57160489726606,0.8126107032724816
campaign_existing,ROUND_006,12,19.57696795844276,13.309565595862304,21.636458987991244,-0.7131973572488555,0.8333333333333334,52.18531951997829,0.3152369107522558
campaign_existing,ROUND_007,12,14.687651387008517,11.540316845308167,17.1939269193019,0.08708105037720337,0.8333333333333334,47.18237034411016,0.6690027772631207
campaign_existing,ROUND_008,12,19.33709395618693,17.24653444871184,20.85630551177133,-2.3558752731542763,0.6666666666666666,53.76159818569234,0.5804195804195805
campaign_existing_adaptive,ROUND_003,12,7.110679251792483,0.28934568152353474,8.189331690269132,0.26076376999483586,1.0,58.997397020847096,0.6164632921377448
campaign_existing_adaptive,ROUND_004,12,16.699077303447492,9.61556335068085,21.97842568503456,-0.34267989231035845,0.75,51.96387798952176,-0.06993006993006995
campaign_existing_adaptive,ROUND_005,12,17.55317017604546,15.221410235760251,20.593718509300036,-0.3006260665407632,0.75,58.16575644624666,0.8126107032724816
campaign_existing_adaptive,ROUND_006,12,18.794146559428654,13.616016831611153,21.10933687622935,-0.6307380530295796,0.8333333333333334,55.17042620101773,0.3152369107522558
campaign_existing_adaptive,ROUND_007,12,13.999253151591498,11.159988891636425,16.909724429679684,0.1170113336158558,1.0,50.94195666082995,0.5989501304292861
campaign_existing_adaptive,ROUND_008,12,19.404753720717462,17.572076659053685,20.84888029303206,-2.353486194963588,0.6666666666666666,56.790864100869214,0.5594405594405596
campaign_mean,ROUND_003,12,8.166770833333336,1.58364583333334,9.655576437875487,-0.027644099361796126,1.0,65.17240009482042,
campaign_mean,ROUND_004,12,17.44581018518519,11.535763888888894,22.200007012328065,-0.3698895318008115,0.75,57.25340930658873,
campaign_mean,ROUND_005,12,20.751744791666667,14.611406250000002,23.22860054015153,-0.6547370858713322,0.8333333333333334,65.14663151097523,
campaign_mean,ROUND_006,12,18.63811111111111,13.665999999999997,21.447903846159353,-0.6834674825560749,1.0,70.2408722316649,
campaign_mean,ROUND_007,12,19.13618055555556,8.900208333333337,20.07596431305252,-0.24461462222276986,1.0,72.2064948989872,
campaign_mean,ROUND_008,12,15.532986111111109,14.4425,18.390347752323468,-1.609221416237756,1.0,73.00863451422471,
campaign_median,ROUND_003,12,7.635416666666667,-1.3541666666666667,9.620602350338222,-0.02021298989589715,1.0,65.17240009482042,
campaign_median,ROUND_004,12,16.278333333333332,8.033333333333331,20.59856566102763,-0.17937871121647486,0.75,57.25340930658873,
campaign_median,ROUND_005,12,19.89375,12.895416666666668,22.189332154400983,-0.5099806144927865,0.8333333333333334,65.14663151097523,
campaign_median,ROUND_006,12,18.499374999999997,13.249791666666667,21.18513636029201,-0.6424703998860191,1.0,70.2408722316649,
campaign_median,ROUND_007,12,19.12666666666667,8.871666666666668,20.06332734534994,-0.24304825116980622,1.0,72.2064948989872,
