round_id,variant,kappa,selected_count,top4_mean_actual,overlap_with_kappa035,selected_formulations,scope
ROUND_003,campaign_bounds_learned,0.35,4,52.75,4,v2_430e18c49d10;v2_27a2b16cc327;v2_8f6028d7e59a;v2_a7291b600bea,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_bounds_learned,0.0,4,52.75,4,v2_430e18c49d10;v2_27a2b16cc327;v2_8f6028d7e59a;v2_a7291b600bea,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_bounds_learned,1.0,4,52.75,4,v2_430e18c49d10;v2_27a2b16cc327;v2_8f6028d7e59a;v2_a7291b600bea,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_bounds_learned,2.0,4,46.125,3,v2_8f6028d7e59a;v2_a7291b600bea;v2_27a2b16cc327;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_existing,0.35,4,51.25,4,v2_430e18c49d10;v2_27a2b16cc327;v2_4aeffae55153;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_existing,0.0,4,51.25,4,v2_430e18c49d10;v2_27a2b16cc327;v2_4aeffae55153;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_existing,1.0,4,51.25,4,v2_430e18c49d10;v2_27a2b16cc327;v2_4aeffae55153;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_existing,2.0,4,51.25,4,v2_27a2b16cc327;v2_430e18c49d10;v2_4aeffae55153;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_existing_adaptive,0.35,4,51.25,4,v2_430e18c49d10;v2_27a2b16cc327;v2_4aeffae55153;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_existing_adaptive,0.0,4,51.25,4,v2_430e18c49d10;v2_27a2b16cc327;v2_4aeffae55153;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_existing_adaptive,1.0,4,51.25,4,v2_27a2b16cc327;v2_430e18c49d10;v2_4aeffae55153;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_existing_adaptive,2.0,4,51.25,4,v2_27a2b16cc327;v2_430e18c49d10;v2_4aeffae55153;v2_afa1348627bc,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_mean,0.35,4,48.5,4,v2_0a63a12b60f3;v2_27a2b16cc327;v2_3db5f7aa7cdd;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_mean,0.0,4,48.5,4,v2_0a63a12b60f3;v2_27a2b16cc327;v2_3db5f7aa7cdd;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_mean,1.0,4,48.5,4,v2_0a63a12b60f3;v2_27a2b16cc327;v2_3db5f7aa7cdd;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_mean,2.0,4,48.5,4,v2_0a63a12b60f3;v2_27a2b16cc327;v2_3db5f7aa7cdd;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_median,0.35,4,48.5,4,v2_0a63a12b60f3;v2_27a2b16cc327;v2_3db5f7aa7cdd;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_median,0.0,4,48.5,4,v2_0a63a12b60f3;v2_27a2b16cc327;v2_3db5f7aa7cdd;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_median,1.0,4,48.5,4,v2_0a63a12b60f3;v2_27a2b16cc327;v2_3db5f7aa7cdd;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,campaign_median,2.0,4,48.5,4,v2_0a63a12b60f3;v2_27a2b16cc327;v2_3db5f7aa7cdd;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,current_mixed,0.35,4,46.0,4,v2_27a2b16cc327;v2_84c11063c325;v2_4aeffae55153;v2_0a63a12b60f3,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
ROUND_003,current_mixed,0.0,4,52.75,3,v2_27a2b16cc327;v2_84c11063c325;v2_4aeffae55153;v2_430e18c49d10,rerank_measured_frozen_slate_without_production_constraints_or_new_candidates
