batch,recipe,x,value,control,true_shift
TOY_1,A,0.0,33.457075619631645,False,-12.0
TOY_1,B,0.33,46.440023840639256,False,-12.0
TOY_1,C,0.67,61.12567679370969,False,-12.0
TOY_1,D,1.0,54.41084707458682,False,-12.0
TOY_1,Viability control,0.5,50.07344721701924,True,-12.0
TOY_2,A,0.0,51.046730739706526,False,8.0
TOY_2,B,0.33,68.19176060475093,False,8.0
TOY_2,C,0.67,79.52563611148463,False,8.0
TOY_2,D,1.0,72.97479826374357,False,8.0
TOY_2,Viability control,0.5,71.72043410863964,True,8.0
TOY_3,A,0.0,41.319096962294246,False,-5.0
TOY_3,B,0.33,56.16668790314342,False,-5.0
TOY_3,C,0.67,67.09904604634183,False,-5.0
TOY_3,D,1.0,61.69086181045205,False,-5.0
TOY_3,Viability control,0.5,60.701264013378065,True,-5.0
TOY_4,A,0.0,55.711061305675145,False,12.0
TOY_4,B,0.33,72.55312617612375,False,12.0
TOY_4,C,0.67,82.56167609875651,False,12.0
TOY_4,D,1.0,78.31767545196091,False,12.0
TOY_4,Viability control,0.5,76.92511113352062,True,12.0
TOY_5,A,0.0,36.72270645468211,False,-8.0
TOY_5,B,0.33,50.978605683394086,False,-8.0
TOY_5,C,0.67,65.83381200801105,False,-8.0
TOY_5,D,1.0,56.7682057768968,False,-8.0
TOY_5,Viability control,0.5,56.35750826675534,True,-8.0
TOY_6,A,0.0,49.47179967426766,False,5.0
TOY_6,B,0.33,65.79846377833002,False,5.0
TOY_6,C,0.67,77.54816609654611,False,5.0
TOY_6,D,1.0,70.61909891739398,False,5.0
TOY_6,Viability control,0.5,70.64623150451182,True,5.0
