rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,dmso_M,methylcellulose_pct,hsa_pct,peg_3350_pct
1,81.56557576309025,75.38795924003465,12.35523304611121,0.0,3,0.2848,1.81,4.9,,,,
2,81.1252120402211,74.96638273239843,12.317658615645355,0.07812999999999999,4,0.2897,1.81,5.7,0.011,,,
3,80.42806146727465,74.22608247112237,12.403957992304555,0.0,3,0.2848,2.01,5.4,,,,
4,80.3623507267568,74.20115222070679,12.322397012100016,0.14915727272727272,4,0.2911,1.79,5.4,0.021,,,
5,80.29144354132355,74.07929961866583,12.424287845315442,0.0,3,0.3047,1.83,1.4,,,,
6,80.0669508973328,73.89737898360039,12.339143827464824,0.07812999999999999,4,0.2897,2.0,6.3,0.011,,,
7,79.99979643370098,73.84555819609699,12.308476475207993,0.14915727272727272,4,0.2911,1.96,5.9,0.021,,,
8,80.30283338920862,73.72153968014786,13.162587418121522,0.0,4,0.29623850428358,1.8783740021160351,4.905186971168195,,0.24390527615743288,,
9,79.98153941806328,73.44926587516152,13.064547085803538,0.06814638088256389,5,0.2957936687555251,1.8701564802079411,4.636327019700955,0.009594396386896235,0.2339103104591633,,
10,79.58832063779337,73.4124274907555,12.351786294075739,0.21379209090909088,4,0.2858,1.9,4.6,0.0301,,,
11,78.66085876074,72.45160424675174,12.418509027976514,0.27842690909090906,4,0.2866,1.9,4.5,0.0392,,,
12,78.45516204666242,72.27609922880325,12.358125635718366,0.07812999999999999,4,0.2897,1.63,5.1,0.011,,,
13,78.33981378806445,72.13859350002456,12.402440576079792,0.20515050835199042,4,0.28958853813958824,1.6850217213810366,5.035329089761062,0.028883343042005565,,,
14,78.37086732484671,72.13425434500017,12.473225959693078,0.12074636363636365,4,0.3032,2.1,2.7,0.017,,,
15,78.37920066842305,72.10774085298222,12.542919630881673,0.05611154545454545,4,0.3171,2.11,2.8,0.0079,,,
16,78.15776991530794,71.94111598050151,12.433307869612875,0.1938581131395172,4,0.31437154665226813,2.043009516219903,3.443113477417303,0.027293475547608973,,,
17,77.82653418312543,71.5692958490692,12.514476668112444,0.34186517077630413,4,0.294073259284434,1.8564236490660482,4.660446247436117,0.04813153562702349,,,
18,77.7603829213256,71.52610668117707,12.468552480297049,0.2639879377201899,4,0.2916421821647423,1.6984948149998211,5.079093185309131,0.03716712293513489,,,
19,77.13993097017209,70.47657865551363,13.326704629316897,0.0,6,0.32002547796349157,2.114016167216115,6.30190437754176,,0.19315109548644538,0.19734447647876507,0.10140554028918203
20,76.6483802545205,70.32489734462827,12.64696581978447,0.4056998417753022,4,0.29350000355620476,1.8603944492714304,4.571933092251494,0.05711888211350729,,,
