rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,dmso_M
1,82.68706055627332,75.77899627788588,13.816128556774897,0.0,3,0.2848,1.81,4.9,
2,82.47768101558552,75.58854422193653,13.778273587297987,0.07812999999999999,4,0.2897,1.81,5.7,0.011
3,81.8277857569353,74.9378318497252,13.779907814420202,0.14915727272727272,4,0.2911,1.79,5.4,0.021
4,81.91424946881517,74.59581538392261,14.636868169785103,0.0,3,0.24995017240634806,1.6480250183651537,9.640723679262958,
5,81.72289013064575,74.41996928185063,14.605841697590245,0.05351338041021744,4,0.2492712026379946,1.674417574612459,9.78477823728199,0.007534201772845154
6,81.60488901534013,74.35085447227324,14.508069086133785,0.12091625429928726,4,0.25390062396602914,1.6490986781307613,9.352613944559543,0.01702391907451888
7,81.45749277490003,74.28151039905423,14.351964751691625,0.19659943338097577,4,0.26352490500709125,1.6558733120035678,8.715955235125548,0.027679428736602243
8,80.8202564236558,73.8926318701621,13.855249106987408,0.0,3,0.2848,2.01,5.4,
9,80.7774915438336,73.84388835669061,13.867206374285987,0.07812999999999999,4,0.2897,1.63,5.1,0.011
10,80.70908323847256,73.83807827308019,13.742009930784745,0.14915727272727272,4,0.2911,1.96,5.9,0.021
11,80.96744016290869,73.77987035910621,14.375139607604963,0.25736499078333996,4,0.26586290534496737,1.6619472610061783,8.555235437093765,0.03623467168330653
12,80.65142336515123,73.76160044570442,13.779645838893632,0.07812999999999999,4,0.2897,2.0,6.3,0.011
13,80.57121701041035,73.67520279034909,13.79202844012253,0.21379209090909088,4,0.2858,1.9,4.6,0.0301
14,80.45206672892185,73.30038212861929,14.303369200605106,0.32567634882006863,4,0.27130129234980005,1.7125386240925655,7.947452961459641,0.04585229536696218
15,79.77732716013237,72.84356552722467,13.867523265815398,0.27842690909090906,4,0.2866,1.9,4.5,0.0392
16,79.75897649551094,72.8267961787772,13.864360633467461,0.0,3,0.3047,1.83,1.4,
17,79.73578350125885,72.81808759760698,13.835391807303743,0.03713904317916023,4,0.3130775358436306,2.0067887450229773,6.305287531363573,0.005228842633697204
18,79.581868045751,72.39786167526488,14.368012740972226,0.39234464856062984,4,0.27376363216062366,1.7383578577913117,7.604080323655066,0.055238591247496846
19,78.60009123373443,71.557219986986,14.085742493496877,0.0,3,0.3047,1.55,6.5,
20,78.10154365577192,71.19047512740526,13.8221370567333,0.05611154545454545,4,0.3171,1.73,2.3,0.0079
