rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,dmso_M,methylcellulose_pct,propylene_glycol_M,hsa_pct
1,82.68706055627332,75.77899627788588,13.816128556774897,0.0,3,0.2848,1.81,4.9,,,,
2,82.47768101558552,75.58854422193653,13.778273587297987,0.07812999999999999,4,0.2897,1.81,5.7,0.011,,,
3,81.8277857569353,74.9378318497252,13.779907814420202,0.14915727272727272,4,0.2911,1.79,5.4,0.021,,,
4,80.8202564236558,73.8926318701621,13.855249106987408,0.0,3,0.2848,2.01,5.4,,,,
5,80.7774915438336,73.84388835669061,13.867206374285987,0.07812999999999999,4,0.2897,1.63,5.1,0.011,,,
6,80.70908323847256,73.83807827308019,13.742009930784745,0.14915727272727272,4,0.2911,1.96,5.9,0.021,,,
7,81.32201917647384,73.80192738334577,15.04018358625614,0.0,4,0.2744054556750949,1.743845985924916,8.034473166281366,,0.27169493378870996,,
8,80.65142336515123,73.76160044570442,13.779645838893632,0.07812999999999999,4,0.2897,2.0,6.3,0.011,,,
9,80.57121701041035,73.67520279034909,13.79202844012253,0.21379209090909088,4,0.2858,1.9,4.6,0.0301,,,
10,80.97823257863872,73.52275731021575,14.910950536845933,0.0,3,0.2395976924312455,1.601610328972905,10.20031357621622,,,,
11,79.77732716013237,72.84356552722467,13.867523265815398,0.27842690909090906,4,0.2866,1.9,4.5,0.0392,,,
12,79.75897649551094,72.8267961787772,13.864360633467461,0.0,3,0.3047,1.83,1.4,,,,
13,79.54520659417146,71.90734817938905,15.275716829564841,0.0,3,0.24745419680071917,1.7958794983943414,13.473851561173655,,,,
14,78.60009123373443,71.557219986986,14.085742493496877,0.0,3,0.3047,1.55,6.5,,,,
15,78.10154365577192,71.19047512740526,13.8221370567333,0.05611154545454545,4,0.3171,1.73,2.3,0.0079,,,
16,78.32515602555927,70.7824751032578,15.085361844602941,0.0,3,0.2409082750946847,1.3924244730022177,9.29827697926583,,,,
17,78.66201052538402,70.538688398393,16.246644253982037,0.0,4,0.259268174453187,1.6343454811336477,9.403757871669413,,,0.21623775351354202,
18,78.19341427589629,70.29853265409206,15.789763243608464,0.0,4,0.26116507994131055,1.6728277467329804,9.689268579391095,,,,0.9041512993229311
19,75.85118696472847,68.70469834022906,14.292977248998813,0.0,3,0.323003321334467,2.1930509469033286,2.4871816968098717,,,,
20,75.70709792847819,68.60032503126729,14.213545794421808,0.0,2,0.23748429677735744,1.648680901551657,,,,,
