rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,creatine_M,pvp_pct,raffinose_M,betaine_M,human_serum_pct,dmso_M,hes_pct,peg_3350_pct,proline_M,propylene_glycol_M,methylcellulose_pct,sucrose_M,dextran_pct,trehalose_M
1,74.18489747770437,16.103913660803105,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,,,
2,66.53007371175374,15.845099874078468,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,,,
3,64.10009468281811,16.07425250997375,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,,,
4,62.00320765381697,16.444839290662856,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,,,
5,56.57640748445987,28.44565842972063,0.0,4,,0.8650657100668679,,,,0.6582301793814394,9.304916218764344,0.05762338168416181,,,,,,,,,,,
6,54.49152053258892,28.79529366823642,0.0,2,,,,,,,,,0.08854662326102092,75.55296552296711,,,,,,,,,
7,52.66011937338905,28.60051352415125,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,2.236002273870654,,,0.13318992281528919,,0.03427662704984398,,,,,,,,
8,52.5505906262257,28.81434436870479,0.021964291540294542,3,,,,,,1.495639354918259,9.222512703352146,,,,0.003092374336915909,,,,,,,,
9,52.542908125854574,28.723210762617594,0.36875529041479055,6,,,,,,,2.1058355362859924,,,,0.05191742217538329,1.4753433905956326,1.3963688162782795,0.11147335246676054,0.9381621893389647,,,,
10,52.115041212302664,28.95806304613464,0.0,2,,2.226624728511492,,,,,,,,33.4544668109086,,,,,,,,,
11,52.015017115871515,28.957023358173622,0.1104025430962471,5,,1.8106786516500089,,,,,9.956754337623563,0.9273665840371063,,,0.015543683272222171,,,,,2.8994291686393403,,,
12,51.871119172243525,17.338035714808612,0.0,3,,0.3625101908543915,,,,,,,,,,,,,2.440388225313204,,0.6072126026993657,,
13,51.85934135890322,28.949368339783398,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,26.213941563244536,,,,,,,,,
14,51.83497770323772,28.769162583037506,0.0,4,,,,,7.0691957407922725,,,,,10.820720356897263,,,0.9283920021116754,,,,,0.8222885277766956,
15,51.797836736267506,15.937054834094296,0.0,3,,0.975688891057823,,,8.524649388815355,,,,,,,,,0.06755325354947417,,,,,
16,51.78312627781036,28.9573805768725,0.0,8,,0.04262636516044638,,,,,7.731629973476213,0.46470068189745695,0.15314739564927182,2.015046803590015,,,,0.03332779587333673,,,0.14741877335525955,,0.0797791114432349
17,51.660644316740004,28.960654338336578,0.23233494450753234,7,,,50.01220750307749,,,,4.547125610831078,0.3766972592935105,,,0.032710666703991496,4.553677044654809,1.205663494216671,0.2691682564721326,,,,,
18,51.64737908409485,28.77943937865612,0.0,2,,1.0187002112928445,,,,,,,,,,,,,2.3946808371041737,,,,
19,51.641108482995854,28.96106457381719,0.0,2,,,,,,,,,,64.96736877235892,,,,,0.7462018229037337,,,,
20,51.63650035087866,28.961059432831565,0.0,7,,1.543590949725173,,1.1860579857219966,8.63306166977948,,,0.019210533073514835,,15.678135780883458,,6.074818174490111,,,,,,2.1337190735486224,
