rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,creatine_M,pvp_pct,raffinose_M,betaine_M,human_serum_pct,propylene_glycol_M,sucrose_M,dmso_M,proline_M,hes_pct,peg_3350_pct,methylcellulose_pct,trehalose_M,dextran_pct
1,74.08077003639286,16.297249198152215,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,,,
2,66.07704956469622,16.052886072958295,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,,,
3,63.79523649672461,16.277073785921548,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,,,
4,61.68952259033867,16.76430082019761,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,,,
5,54.97791103096493,28.277788777247213,0.0,4,,0.8650657100668679,,,,0.6582301793814394,9.304916218764344,0.05762338168416181,,,,,,,,,,,
6,53.34154626467233,28.55499680252978,0.0,2,,,,,,,,,0.08854662326102092,75.55296552296711,,,,,,,,,
7,51.82587202174727,17.63683822059914,0.0,3,,0.3625101908543915,,,,,,,,,2.440388225313204,0.6072126026993657,,,,,,,
8,51.73612385151517,28.335891984471616,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,2.236002273870654,,,0.13318992281528919,,,,0.03427662704984398,,,,,,
9,51.426587735572326,28.583801217411303,0.021964291540294542,3,,,,,,1.495639354918259,9.222512703352146,,,,,,0.003092374336915909,,,,,,
10,51.420164479173295,16.259412029154014,0.0,3,,0.975688891057823,,,8.524649388815355,,,,,,,,,0.06755325354947417,,,,,
11,51.28027257541847,28.481753215197582,0.36875529041479055,6,,,,,,,2.1058355362859924,,,,0.9381621893389647,,0.05191742217538329,0.11147335246676054,1.4753433905956326,1.3963688162782795,,,
12,50.965066941387406,28.71912812632755,0.0,2,,2.226624728511492,,,,,,,,33.4544668109086,,,,,,,,,
13,50.95608969310941,28.52469845698382,0.0,2,,1.0187002112928445,,,,,,,,,2.3946808371041737,,,,,,,,
14,50.84306252344675,28.7182082336269,0.1104025430962471,5,,1.8106786516500089,,,,,9.956754337623563,0.9273665840371063,,,,,0.015543683272222171,,,,2.8994291686393403,,
15,50.70936474114118,28.71036106051193,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,26.213941563244536,,,,,,,,,
16,50.690037679380005,28.71640007748152,0.0,8,,0.04262636516044638,,,,,7.731629973476213,0.46470068189745695,0.15314739564927182,2.015046803590015,,0.14741877335525955,,0.03332779587333673,,,,0.0797791114432349,
17,50.67227717658087,28.528643176475995,0.0,4,,,,,7.0691957407922725,,,,,10.820720356897263,,,,,,0.9283920021116754,,,0.8222885277766956
18,50.54716737508036,28.52381147555645,0.12575607710977962,6,,,,,,,3.318636104333609,0.33960641424640037,,,2.2375318915661553,0.7749163873801383,0.01770532251641592,0.00948807510420202,,,,,
19,50.510671984328745,28.72174086144522,0.23233494450753234,7,,,50.01220750307749,,,,4.547125610831078,0.3766972592935105,,,,,0.032710666703991496,0.2691682564721326,4.553677044654809,1.205663494216671,,,
20,50.491134215079256,28.7221546232402,0.0,2,,,,,,,,,,64.96736877235892,0.7462018229037337,,,,,,,,
