rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,hes_pct,human_serum_pct,ectoin_M,ethylene_glycol_M,pvp_pct,proline_M,fbs_pct,peg_3350_pct,dmso_M,creatine_M,propylene_glycol_M,trehalose_M,dextran_pct,sucrose_M,betaine_M,raffinose_M
1,57.679557453521625,14.914847103899683,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,,,
2,56.69576477398377,28.570653982790013,0.0,2,,,0.47196701697378995,86.52749576778446,,,,,,,,,,,,,,
3,54.152928342688234,28.881858943609195,0.0,3,,,,,0.30153215308525827,2.138017462545925,8.35407830842126,,,,,,,,,,,
4,53.37601574388765,28.904489386581552,0.0,2,,,4.320247996337416,78.27917112125333,,,,,,,,,,,,,,
5,53.34736071344764,15.37749482104273,0.0,2,,,,,,1.0309162181867026,,0.0361384737865883,,,,,,,,,,
6,52.64983936166625,17.250093072104068,0.0,6,,1.7853290453971482,,,,1.5282637926384668,7.177033617093369,0.14953215480442156,33.853257900944115,3.5916393863395313,,,,,,,,
7,52.307496937657874,28.87367697554199,0.4270151508136083,3,,,,,0.24250899376202062,,9.724613900279023,,,,0.060119885561880096,,,,,,,
8,52.1651100722391,28.9519322100794,0.0,2,,,,60.944658882522575,,,,0.15935132798069174,,,,,,,,,,
9,52.1228969104359,26.648911242237933,4.852776432377494,2,,,,,,,,,,,0.6832271951382624,1.3845385365700535,,,,,,
10,52.08878874398103,28.95333708866742,3.447058542152564,3,,,,53.84276374653468,,0.1324469832564923,,,,,0.48531478258899535,,,,,,,
11,51.87917428140425,28.959079760207086,0.0,3,,,3.8863229039883898,67.20038683079733,,,,,,4.159896079752416,,,,,,,,
12,51.85300870629346,28.939890128709205,0.0,4,,,1.8029546069678037,,,,8.429562282351153,,,,,,0.9458885601567188,0.06289825760685919,,,,
13,51.80059770654782,28.9547795274291,4.164279043089606,4,,0.4434686195360116,,32.090060131952065,,,,0.19637509176935497,,,0.5862929665171595,,,,,,,
14,51.78487256167887,28.958120255572645,0.0,4,,9.748346527811119,,,,,,,70.84139423414436,,,,,0.27571985309555225,2.7561233867894543,,,
15,51.764436400348444,28.959032068303216,0.0,2,,,,24.406000714008307,,,,,,,,,,,,0.5025296267016556,,
16,51.74334061701456,28.959462784223327,0.0,7,,5.0598332915706346,1.1963043951607033,8.889214625887613,0.207958266466358,,0.7276237623962711,,,,,,,,,,0.199320667598192,0.4167086638472298
17,51.735620567797675,28.510098292626363,3.543828161728273,3,,,2.4894352479687276,,,,,,,,0.4989390730706644,,1.259721991978184,,,,,
18,51.7308690044549,28.95970131540222,0.0,2,,5.132605045704422,,46.330581143982094,,,,,,,,,,,,,,
19,51.70730627542632,28.938957738745355,0.0,4,2.279553984091857,,,,,1.3011402303484576,8.608108626867374,,,,,,,,,0.03517463153159661,,
20,51.702558717963456,28.92450384375539,0.0,3,,,,29.032055505300203,0.033776441488767184,,,0.08790494170529511,,,,,,,,,,
