rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,glycerol_M,hsa_pct,hes_pct,human_serum_pct,ectoin_M,ethylene_glycol_M,pvp_pct,fbs_pct,peg_3350_pct,proline_M,propylene_glycol_M,sucrose_M,creatine_M,dmso_M,trehalose_M,dextran_pct
1,57.339868247378725,15.265851672192577,0.0,2,1.2087676864441632,8.327230977971464,,,,,,,,,,,,,,
2,55.54579050606718,28.328451668893315,0.0,2,,,0.47196701697378995,86.52749576778446,,,,,,,,,,,,
3,53.05119775837509,28.637670075242244,0.0,3,,,,,0.30153215308525827,2.138017462545925,8.35407830842126,,,,,,,,,
4,52.78032075605621,17.529782665356727,0.0,6,,1.7853290453971482,,,,1.5282637926384668,7.177033617093369,33.853257900944115,3.5916393863395313,0.14953215480442156,,,,,,
5,52.50495271857489,15.686396703504135,0.0,2,,,,,,1.0309162181867026,,,,0.0361384737865883,,,,,,
6,52.22604147597106,28.665107912783363,0.0,2,,,4.320247996337416,78.27917112125333,,,,,,,,,,,,
7,51.73444419287689,17.36800996320825,0.0,2,,,,,,,,,,,2.4567001218060853,0.3991093505747292,,,,
8,51.57032741509795,26.356529902703247,4.852776432377494,2,,,,,,,,,,,,,1.3845385365700535,0.6832271951382624,,
9,51.283280600253896,16.37072828705595,0.0,2,1.8607624141879884,,,,,,,36.763067803954364,,,,,,,,
10,51.167681744645606,28.63770566046205,0.4270151508136083,3,,,,,0.24250899376202062,,9.724613900279023,,,,,,,0.060119885561880096,,
11,51.01513580432251,28.712946272536062,0.0,2,,,,60.944658882522575,,,,,,0.15935132798069174,,,,,,
12,50.93881447606444,28.71436284374971,3.447058542152564,3,,,,53.84276374653468,,0.1324469832564923,,,,,,,,0.48531478258899535,,
13,50.8990441456978,28.482187375410707,0.0,5,,3.3214641265493894,,,,,,16.768879154470863,,,2.0937269725062304,0.2359060345950812,1.6552051036728976,,,
14,50.73369846069676,24.52933853325348,2.1810438211131156,2,,,,,,,,,,,,0.25625361419433546,,0.30707131744841,,
15,50.729200013487656,28.720153298869164,0.0,3,,,3.8863229039883898,67.20038683079733,,,,,4.159896079752416,,,,,,,
16,50.70657302102172,28.700619278403202,0.0,4,,,1.8029546069678037,,,,8.429562282351153,,,,0.9458885601567188,,,,0.06289825760685919,
17,50.65062343444382,28.715817286550227,4.164279043089606,4,,0.4434686195360116,,32.090060131952065,,,,,,0.19637509176935497,,,,0.5862929665171595,,
18,50.634813498281375,28.699840821932668,0.0,4,2.279553984091857,,,,,1.3011402303484576,8.608108626867374,,,,,0.03517463153159661,,,,
19,50.62054381618356,28.719183741985244,0.0,4,,9.748346527811119,,,,,,70.84139423414436,,,,,,,0.27571985309555225,2.7561233867894543
20,50.6144502191145,28.72010521020813,0.0,2,,,,24.406000714008307,,,,,,,,0.5025296267016556,,,,
