stage,label,iteration_dir,timestamp,model_method,batch_dates,batch_rows,batch_best_actual_viability,best_so_far_viability,simple_regret_vs_best_known,best_known_viability_reference,batch_rmse,batch_spearman,batch_hit_rate_ge_50,next_formulations_tested,exploit_mean_actual_viability,exploit_hit_rate_ge_50,explore_mean_signed_residual,explore_coverage_1sigma,explore_fraction_residual_ge_5
0,literature_only,literature_only,2026-01-30T12:33:19.875878,literature_only,"2026-02-04,2026-02-11,2026-02-27",18,72.93,72.93,22.22,95.15,41.2128,-0.3271,0.4444,,,,,,
1,iteration_1,iteration_1_prior_mean,2026-03-02T13:15:01.092406,prior_mean_correction,"2026-03-03,2026-03-05",11,79.09,79.09,16.06,95.15,21.6681,-0.5182,0.9091,,,,,,
2,iteration_2,iteration_2_prior_mean,2026-03-09T23:49:45.912284,prior_mean_correction,2026-03-10,6,53.4,79.09,16.06,95.15,14.7438,0.0857,0.6667,,,,,,
3,iteration_3,iteration_3_prior_mean,2026-03-11T13:39:36.472392,prior_mean_correction,2026-03-12,8,63.61,79.09,16.06,95.15,21.0461,0.4762,0.625,,,,,,
4,iteration_4,iteration_4_prior_mean,2026-03-16T19:05:04.690495,prior_mean_correction,2026-03-17,6,78.31,79.09,16.06,95.15,9.2409,-0.6,1.0,,,,,,
5,iteration_5,iteration_5_prior_mean,2026-03-18T14:03:08.919319,prior_mean_correction,"2026-03-24,2026-03-26",23,95.15,95.15,0.0,95.15,20.8718,0.7935,0.8261,12.0,76.198,0.8,19.6563,0.4286,1.0
6,iteration_6,iteration_6_prior_mean,2026-03-27T11:41:35.221080,prior_mean_correction,2026-03-31,6,74.16,95.15,0.0,95.15,20.6788,0.6571,0.8333,6.0,74.02,1.0,-7.5949,0.5,0.25
7,iteration_7,iteration_7_prior_mean,2026-04-01T13:51:38.837195,prior_mean_correction,2026-04-09,12,79.04,95.15,0.0,95.15,18.4976,0.8182,0.75,12.0,76.0725,1.0,-18.9955,0.875,0.0
8,iteration_8,iteration_8_prior_mean,2026-04-10T16:26:50.795134,prior_mean_correction,2026-04-14,8,71.7,95.15,0.0,95.15,10.1005,0.8571,0.75,8.0,70.9633,1.0,-2.3645,1.0,0.2
9,iteration_9,iteration_9_prior_mean,2026-04-15T11:26:42.109476,prior_mean_correction,,0,,95.15,0.0,95.15,,,,,,,,,
