feature,importance
ethylene_glycol,1.4410324321657646
ectoin,1.2025565798011106
dmso,0.4007534703222947
fbs,0.14811951203181573
hsa,0.1293897911601597
glycerol,0.12652698312532595
dextran,0.11797436963766517
proline,0.10316905590409475
human_serum,0.10199575094037427
betaine,0.10012574565839183
pvp,0.09327290184964965
trehalose,0.09119823120690596
propylene_glycol,0.07909200582643361
sucrose,0.07250339777368009
peg_3350,0.06366126567213481
hes,0.059474094109629894
glucose,0.007819123314414256
hyaluronic_acid,0.0071941178842527265
methylcellulose,0.006546934711676444
raffinose,0.002642686363866442
creatine,0.000784230025152044
