requirements_version,formulation_id,batch_id,requirements_status,viability_margin,mechanical_margin,mechanical_compatibility_status,application_status
application_requirements_v1,reference_b5a5b7b1176f,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_211d2693ca45,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_3e8ef993abba,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_4d49c0b641bb,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_55f87bb2c839,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_6f20e63adb1d,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_a288e68df07e,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_a409fb1db800,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_c60ceb90bc67,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_cc16b5977344,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_d36a198b8927,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
application_requirements_v1,v2_d3e3aa3e830f,ROUND_010,unspecified,,,unknown_or_incompatible,requirements_pending
