formulation_id,batch_id,experimental_role,endpoint,recorded_replicate_count,count_basis
reference_b5a5b7b1176f,ROUND_010,campaign_control,critical_axial_load_N_per_needle,1,ingested_completed_csv_replicates; not independent preparations
reference_b5a5b7b1176f,ROUND_010,campaign_control,initial_stiffness_N_per_mm_per_needle,1,ingested_completed_csv_replicates; not independent preparations
reference_b5a5b7b1176f,ROUND_010,campaign_control,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
reference_b5a5b7b1176f,ROUND_010,campaign_control,terminal_force_08mm_N_total,1,ingested_completed_csv_replicates; not independent preparations
reference_b5a5b7b1176f,ROUND_010,campaign_control,terminal_force_08mm_status,2,ingested_completed_csv_replicates; not independent preparations
reference_b5a5b7b1176f,ROUND_010,campaign_control,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_211d2693ca45,ROUND_010,ordinary,critical_axial_load_N_per_needle,2,ingested_completed_csv_replicates; not independent preparations
v2_211d2693ca45,ROUND_010,ordinary,initial_stiffness_N_per_mm_per_needle,2,ingested_completed_csv_replicates; not independent preparations
v2_211d2693ca45,ROUND_010,ordinary,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_211d2693ca45,ROUND_010,ordinary,terminal_force_08mm_N_total,2,ingested_completed_csv_replicates; not independent preparations
v2_211d2693ca45,ROUND_010,ordinary,terminal_force_08mm_status,2,ingested_completed_csv_replicates; not independent preparations
v2_211d2693ca45,ROUND_010,ordinary,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_3e8ef993abba,ROUND_010,screened_hit_mechanics,critical_axial_load_N_per_needle,2,ingested_completed_csv_replicates; not independent preparations
v2_3e8ef993abba,ROUND_010,screened_hit_mechanics,initial_stiffness_N_per_mm_per_needle,2,ingested_completed_csv_replicates; not independent preparations
v2_3e8ef993abba,ROUND_010,screened_hit_mechanics,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_3e8ef993abba,ROUND_010,screened_hit_mechanics,terminal_force_08mm_N_total,2,ingested_completed_csv_replicates; not independent preparations
v2_3e8ef993abba,ROUND_010,screened_hit_mechanics,terminal_force_08mm_status,2,ingested_completed_csv_replicates; not independent preparations
v2_3e8ef993abba,ROUND_010,screened_hit_mechanics,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_4d49c0b641bb,ROUND_010,retest_priority,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_4d49c0b641bb,ROUND_010,retest_priority,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_55f87bb2c839,ROUND_010,ordinary,critical_axial_load_N_per_needle,1,ingested_completed_csv_replicates; not independent preparations
v2_55f87bb2c839,ROUND_010,ordinary,initial_stiffness_N_per_mm_per_needle,1,ingested_completed_csv_replicates; not independent preparations
v2_55f87bb2c839,ROUND_010,ordinary,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_55f87bb2c839,ROUND_010,ordinary,terminal_force_08mm_N_total,1,ingested_completed_csv_replicates; not independent preparations
v2_55f87bb2c839,ROUND_010,ordinary,terminal_force_08mm_status,1,ingested_completed_csv_replicates; not independent preparations
v2_55f87bb2c839,ROUND_010,ordinary,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_6f20e63adb1d,ROUND_010,retest_priority,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_6f20e63adb1d,ROUND_010,retest_priority,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_a288e68df07e,ROUND_010,ordinary,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_a288e68df07e,ROUND_010,ordinary,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_a409fb1db800,ROUND_010,ordinary,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_a409fb1db800,ROUND_010,ordinary,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_c60ceb90bc67,ROUND_010,ordinary,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_c60ceb90bc67,ROUND_010,ordinary,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_cc16b5977344,ROUND_010,ordinary,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_cc16b5977344,ROUND_010,ordinary,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_d36a198b8927,ROUND_010,ordinary,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_d36a198b8927,ROUND_010,ordinary,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
v2_d3e3aa3e830f,ROUND_010,ordinary,intact_patch_formation_pass,1,ingested_completed_csv_replicates; not independent preparations
v2_d3e3aa3e830f,ROUND_010,ordinary,viability_percent,4,ingested_completed_csv_replicates; not independent preparations
