audit_batch_id,formulation_id,candidate_id,selection_rank,recommendation_type,selection_explanation,mechanical_test_recommended,mechanical_selection_rank,mechanical_selection_mode,batch_id,replicate_id,viability_percent,intact_patch_formation_pass,no_slurry,no_collapse,intact_tip_count,total_tip_count,instron_file,needles_compressed,critical_axial_load_N_per_needle,critical_axial_load_N_total,initial_stiffness_N_per_mm_per_needle,preparation_feasibility_pass,homogeneous_solution_pass,fillability_pass,preparation_failure_reason,notes,dmso_M,ectoin_M,ethylene_glycol_M,glycerol_M,propylene_glycol_M,trehalose_M,sucrose_M,raffinose_M,taurine_M,myo_inositol_M,methoxyphenyl_beta_d_glucopyranoside_M,betaine_M,proline_M,glucose_M,creatine_M,acetamide_M,sericin_pct,methylcellulose_pct,dextran_pct,pvp_pct,hyaluronic_acid_pct,fbs_pct,hsa_pct,human_serum_pct,active_ingredient_count,candidate_origin,rescue_scale_factor,rescue_anchor_formulation_id,rescue_anchor_viability_percent,active_polymer_count,total_polymer_pct,total_serum_protein_pct,total_polymer_serum_pct,total_sugar_M,total_nonpermeating_solute_M,estimated_small_solute_g_L,feasibility_pass,feasibility_reasons,nearest_support_distance,support_status,source,source_row_id,formulation_label,source_type,predicted_viability_percent,viability_std,predicted_critical_axial_load_N_per_needle,critical_axial_load_std,intact_patch_pass_probability,same_formulation_range,local_neighbor_residual,retest_priority_score,viability_ucb,critical_axial_load_ucb,predicted_initial_stiffness_N_per_mm_per_needle,initial_stiffness_std,preparation_feasibility_probability,active_ingredient_excess_above_8,single_molar_excess_features,single_molar_excess_total_M,intact_failure_probability,acquisition_penalty,screening_acquisition_penalty,screening_phase_score,mechanics_phase_score,selection_role,empirical_combination_pass_probability,empirical_combination_weighted_passes,empirical_combination_weighted_failures,nearest_matching_intact_pass_distance,nearest_matching_intact_failure_distance,intact_combination_screening_penalty,intact_combination_policy_version,cold_start_ingredients,cold_start_ingredient_count,cold_start_prior_evidence_counts,cold_start_ordinary_exempt,cold_start_graduation_eligible,cold_start_graduation_priority,cold_start_graduation_reason,observed_viability_percent,observed_intact_patch_pass,audit_policy_applied_counterfactually,ordinary_row_for_cold_cap,total_viscosity_active_macromolecule_pct,total_permeating_cpa_M,crystalline_solute_saturation_burden,feasibility_policy_version,mechanical_backup_status,mechanical_feasibility_weight
ROUND_003,v2_75d69addc009,retest_v2_75d69addc009,1,retest_priority,retest_priority: reason=high_latest_batch_replicate_sd; feedback_batches=1; batch_range=0.0; latest_batch_n=4; latest_batch_sd=10.8; neighbor_residual=4.3; viability_std_tiebreak=1.0,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.01285738975,0.0,0.0938565115,0.0,0.0,0.0880014624143136,0.079736650095617,0.0,0.0,0.0,0.0,0.0,0.01984576425,0.1127153068616857,0.0,0.0,0.0,0.0,1.803182474452244,0.0,0.013560916738022,0.0,0.0,0.0,7,retest,,,,1,1.816743391190266,0.0,1.816743391190266,0.2804534193716163,0.3002991836216163,86.83860996442554,True,,0.0,in_support,,,,,29.24575715487311,0.9991394709236764,0.0,0.0,0.455725392125923,0.0,4.337499999999999,1.3466418011576051,29.5954559696964,0.0,0.0,0.0,0.75,0,,0.0,0.544274607874077,0.4354196862992616,0.0,0.3324266552595939,,round_candidate,0.3333333333333333,0.0,1.0,,0.0,0.06666666666666668,round6_empirical_combination_intact_v1,,0,,True,False,,ineligible:special_origin_exemption,34.5,1.0,True,False,,,,,,
ROUND_003,v2_430e18c49d10,rescue_000002,2,rescue_candidate,rescue_dilution: scaled down a high-viability failed-patch formulation,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.1517574580386533,0.973904413625442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658414069854614,0.0,3,rescue_dilution,0.5,v2_237544a25f30,69.21,0,0.0,4.658414069854614,4.658414069854614,0.0,0.1517574580386533,82.02408718850614,True,,0.3394436219183782,in_support,,,,,59.625548284101335,9.520940751078903,0.0,0.0,0.5498840382139313,,,,62.95787754697895,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,0.473904413625442,0.4501159617860687,0.4548736521539434,0.0947808827250884,0.6482782611045522,,round_candidate,0.5901745560607236,0.4400632386020652,0.0,0.19597786648927717,0.39195573297855435,0.0,round6_empirical_combination_intact_v1,,0,,True,False,,ineligible:special_origin_exemption,65.0,1.0,True,False,,,,,,
ROUND_003,v2_d93bf1a562c8,cand_001256,3,screening_candidate,,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.466252283875273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488272429405464,0.0,0.0,0.0,2,sparse_exploration,,,,1,0.9488272429405464,0.0,0.9488272429405464,0.466252283875273,0.466252283875273,159.59815677050597,True,,0.9580347579398764,in_support,,,,,58.724742992940016,24.187978918531524,0.0,0.0,0.389155289964007,,,,67.19053561442605,0.0,0.0,0.0,0.75,0,,0.0,0.610844710035993,0.4886757680287945,0.0,0.7951556893839176,,round_candidate,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,29.0,1.0,True,True,,,,,,
ROUND_003,v2_84c11063c325,cand_000026,4,screening_candidate,,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0955978034966867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2,local_perturbation,,,,1,5.0,0.0,5.0,0.0955978034966867,0.0955978034966867,32.72312813691586,True,,0.0159107691318486,in_support,,,,,62.813166233359446,21.785070096186512,0.0,0.0,0.4022274037805889,,,,70.43794076702473,0.0,0.0,0.0,0.75,0,,0.0,0.5977725962194111,0.4782180769755289,0.0,0.8351255116019426,,round_candidate,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,44.5,0.0,True,True,,,,,,
ROUND_003,v2_4aeffae55153,cand_000143,5,screening_candidate,,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4787773619116262,0.0,0.0,0.152529727210486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223681357081184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,local_perturbation,,,,0,0.0,0.0,0.0,0.152529727210486,0.1748978629186044,99.2346665179966,True,,0.1202520483193733,in_support,,,,,59.81772975597263,23.352298676726456,0.0,0.0,0.6482014342566541,,,,67.99103429282688,0.0,0.0,0.0,0.75,0,,0.0,0.3517985657433459,0.2814388525946767,0.0,0.8050084143621486,,round_candidate,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,glycerol_M,1,glycerol_M=2,False,True,2,eligible:glycerol_M;prior_distinct_formulations=2;graduation_threshold=3,48.5,0.0,True,True,,,,,,
ROUND_003,v2_27a2b16cc327,cand_000293,6,screening_candidate,,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.3203607479964322,1.004095211974667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3,local_perturbation,,,,0,0.0,10.0,10.0,0.0,0.3203607479964322,107.86667374244038,True,,0.2323438029213398,in_support,,,,,71.820753280291,10.925520512478291,0.0,0.0,0.7023796226029612,,,,75.6446854596584,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,0.5040952119746669,0.2976203773970388,0.3389153443125645,0.1008190423949333,0.7983923007924751,,round_candidate,0.44631778395798655,0.0,0.24055602519780706,,0.2658053911807675,0.021472886416805382,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,53.0,0.0,True,True,,,,,,
ROUND_003,v2_8f6028d7e59a,cand_000510,7,screening_candidate,,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.1750296189454817,0.0,0.0,0.0,0.3043658999964462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,local_perturbation,,,,0,0.0,0.0,0.0,0.8043658999964463,0.979395518941928,219.14665819807325,True,,0.8875389934117579,in_support,,,,,58.720808487471544,24.187978822516087,0.0,0.0,0.3309903543233221,,,,67.18660107535217,0.0,0.0,0.0,0.75,0,,0.0,0.6690096456766779,0.5352077165413424,0.0,0.7951072621566689,,round_candidate,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,41.0,0.0,True,True,,,,,,
ROUND_003,v2_0a63a12b60f3,cand_000849,8,screening_candidate,,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238013771016962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,sparse_exploration,,,,0,0.0,0.0,0.0,0.0,0.0238013771016962,3.121074579345423,True,,0.4079868745878123,in_support,,,,,58.93019509730977,24.16077166458678,0.0,0.0,0.7134560420549231,,,,67.38646517991515,0.0,0.0,0.0,0.75,0,,0.0,0.2865439579450769,0.2292351663560615,0.0,0.7975672363057997,,round_candidate,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,38.0,1.0,True,True,,,,,,
ROUND_003,v2_3db5f7aa7cdd,cand_000846,9,screening_candidate,,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027152463949244,0.0,0.0,0.0,0.0,1.025005135030028,0.0,0.0,0.0,0.0,2,sparse_exploration,,,,1,1.025005135030028,0.0,1.025005135030028,0.0,0.027152463949244,3.5605025976643656,True,,0.4154893968271104,in_support,,,,,58.92437007701841,24.166804376952193,0.0,0.0,0.671882156371155,,,,67.38275160895168,0.0,0.0,0.0,0.75,0,,0.0,0.328117843628845,0.262494274903076,0.0,0.7975215288057408,,round_candidate,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,38.0,1.0,True,True,,,,,,
ROUND_003,v2_4f4525f1566d,cand_001346,10,screening_candidate,,False,,,ROUND_003,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243995068973409,0.0,0.0,0.0,0.5264431474892101,0.0,0.0,0.0,0.0,0.0,2,sparse_exploration,,,,1,0.5264431474892101,0.0,0.5264431474892101,0.0,0.0243995068973409,3.1995073394483184,True,,0.4099134562511488,in_support,,,,,58.9187602099713,24.164943773185,0.0,0.0,0.6772833576660431,,,,67.37649053058605,0.0,0.0,0.0,0.75,0,,0.0,0.3227166423339569,0.2581733138671655,0.0,0.7974444659886893,,round_candidate,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,36.0,1.0,True,True,,,,,,
