formulation_id,candidate_id,selection_rank,recommendation_type,selection_explanation,mechanical_test_recommended,mechanical_selection_rank,mechanical_selection_mode,batch_id,replicate_id,viability_percent,intact_patch_formation_pass,no_slurry,no_collapse,intact_tip_count,total_tip_count,instron_file,needles_compressed,critical_axial_load_N_per_needle,critical_axial_load_N_total,initial_stiffness_N_per_mm_per_needle,notes,dmso_M,ectoin_M,ethylene_glycol_M,glycerol_M,propylene_glycol_M,trehalose_M,sucrose_M,raffinose_M,taurine_M,myo_inositol_M,methoxyphenyl_beta_d_glucopyranoside_M,betaine_M,proline_M,glucose_M,creatine_M,acetamide_M,sericin_pct,methylcellulose_pct,dextran_pct,pvp_pct,hyaluronic_acid_pct,fbs_pct,hsa_pct,human_serum_pct,active_ingredient_count,predicted_viability_percent,viability_std,viability_ucb,predicted_critical_axial_load_N_per_needle,critical_axial_load_std,critical_axial_load_ucb,predicted_initial_stiffness_N_per_mm_per_needle,initial_stiffness_std,intact_patch_pass_probability,active_ingredient_excess_above_8,single_molar_excess_features,single_molar_excess_total_M,intact_failure_probability,acquisition_penalty,screening_phase_score,mechanics_phase_score,selection_role
v2_237544a25f30,cand_001465,1,screening_candidate,,FALSE,,,ROUND_001,,69.21,no,,,,,,,,,,,0,0.30351491607730674,1.947808827250884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.316828139709228,0,3,70.95992834878955,57.340368581488576,91.02905735231055,0,0,0,0,0,1,0,ethylene_glycol_M,1.447808827250884,0,0.2895617654501768,0.4604382345498232,,round_candidate
v2_da5df4899b60,cand_000754,2,screening_candidate,,FALSE,,,ROUND_001,,43.34,no,,,,,,,,,,,0,0,0,0,0,0.094484303,0,0,0,0,0,0.46620703182266626,0,0.4126551897470503,0,0,0,0,6.810169666269752,17.603098949716866,0.8342988867126859,7.125758643493314,0,0,7,59.828298611111116,59.684139475517846,80.71774742754236,0,0,0,0,0,1,0,,0,0,0,0.41441346526262934,,round_candidate
v2_21a3a498433e,cand_001471,3,screening_candidate,,FALSE,,,ROUND_001,,36.22,yes,,,80,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.49086315707555983,0,0,0,0,0,0,0,0,0,0,0,0,1,61.12221106503008,59.238731727103705,81.85576716951638,0,0,0,0,0,1,0,,0,0,0,0.4514508644348168,,round_candidate
v2_e0e6b16a3f20,cand_001389,4,screening_candidate,,FALSE,,,ROUND_001,,26.53,no,,,,,,,,,,,0,0.39561372718783033,0,0,0,0.40162676383306806,0.3317047741665574,0,0,0,0,0,0,0,0.023685671899164804,0,0,0,0,0,0,9.292967359,0,0,5,59.828300782507846,59.684139475514456,80.7177496,0,0,0,0,0,1,0,,0,0,0,0.414413536,,round_candidate
v2_19eed4dca0d3,cand_000440,5,screening_candidate,,FALSE,,,ROUND_001,,35.84,no,,,,,,,,,,,0.091630203,0.15430767130470951,0,0,0,0.4834735693174652,0,0,0,0,0,0,0,0,0.019664741,0,0,0,5.853099045855236,17.360345888650443,0.9976485941215104,0,0,0,7,59.828298611111116,59.684139475517846,80.71774742754236,0,0,0,0,0,1,0,,0,0,0,0.41441346526262934,,round_candidate
v2_2eead01c8392,cand_001027,6,screening_candidate,,FALSE,,,ROUND_001,,60.53,no,,,,,,,,,,,0,0.3605271843832445,0,0.1853715199151118,0,0,0,0,0,0,0,0.017543046871868584,0.44326144709602194,0.066104668,0.004765245,0,0,0,8.347854319240385,0,0.8477155540953429,0,0,0,8,59.828298611111116,59.684139475517846,80.71774742754236,0,0,0,0,0,1,0,,0,0,0,0.41441346526262934,,round_candidate
v2_4a0cb1ead8d1,cand_001486,7,screening_candidate,,FALSE,,,ROUND_001,,60.33,no,,,,,,,,,,,0.051429559,0,0.375426046,0,0,0.35200584965725457,0.3189466003824683,0,0,0,0,0,0.079383057,0.4508612274467428,0,0,0,0,7.212729897808976,0,0.054243666952088376,0,0,0,7,59.82829861684202,59.684139475517846,80.71774743327326,0,0,0,0,0,1,0,,0,0,0,0.41441346544914404,,round_candidate
v2_6b7389efb1b5,cand_001227,8,screening_candidate,,FALSE,,,ROUND_001,,35.92,no,,,,,,,,,,,0.099285136,0.3937221083693463,0,0,0.15179960002280612,0,0,0,0,0,0,0.2647619256052412,0,0.48388706523714137,0,0,0,0,0,0,0.9273155245090483,1.184390852842464,0,0,7,59.828298611111116,59.684139475517846,80.71774742754236,0,0,0,0,0,1,0,,0,0,0,0.41441346526262934,,round_candidate
v2_a803deb82ca6,cand_000585,9,screening_candidate,,FALSE,,,ROUND_001,,28.72,no,,,,,,,,,,,0.097401415,0.37868643327322615,0,0,0,0,0.12727360589300457,0,0,0,0,0,0.36746279438884966,0,0.026655113,0,0,0,4.652473356338291,0,0,6.590592328025533,8.684994925258765,0,8,59.828298612191006,59.684139475517846,80.71774742862225,0,0,0,0,0,1,0,,0,0,0,0.4144134652977746,,round_candidate
v2_49123b81735d,cand_000280,10,screening_candidate,,FALSE,,,ROUND_001,,40.44,no,,,,,,,,,,,0,0,0,0,0.002061542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.970569780865324,0,0,0,0,2,61.12987215,59.12054774,81.82206386,0,0,0,0,0,1,0,,0,0,0,0.4503539739225444,,round_candidate
v2_b9ae21107fa4,cand_001920,11,screening_candidate,,FALSE,,,ROUND_001,,15.93,no,,,,,,,,,,,0,0,0,0,0,0.42121561040412525,0.4741207628781291,0,0,0,0,0,0,0,0.012967739109125416,0,0,0,0,15.698226615285964,0.9874143241465967,4.5764432748917026,6.531873822,0,7,59.828298611111116,59.684139475517846,80.71774742754236,0,0,0,0,0,1,0,,0,0,0,0.41441346526262934,,round_candidate
v2_a2b4c2d7b0b6,cand_001369,12,screening_candidate,,FALSE,,,ROUND_001,,24.39,no,,,,,,,,,,,0,0,0.32932841856579936,0,0,0.1566613396501857,0,0,0,0,0,0,0.3275065908009627,0.44223734232774903,0.023145099,0,0,0,0,0,0,0,7.451170598503605,0,6,59.828298331443285,59.68413947551783,80.71774714787452,0,0,0,0,0,1,0,,0,0,0,0.4144134561607049,,round_candidate
