evaluation_policy_version,mechanical_definition_id,round_id,round_number,provenance_class,formal_cohort,active_phase,candidate_id,formulation_id,recommendation_type,selection_rank,endpoint,endpoint_role,metric_type,prediction_mean,prediction_std,observed_mean,observed_unit,replicate_count,completed_row_count,evaluation_eligible,exclusion_reason,formal_metric_eligible,formal_exclusion_reason,signed_error,absolute_error,squared_error,standardized_residual,interval_95_lower,interval_95_upper,interval_95_covered,brier_score,classification_correct
prospective_evaluation_v2,,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,1,viability_percent,primary,continuous,37.968311028636194,0.698497228186286,59.495,percent,4,5,True,,True,,-21.526688971363804,21.526688971363804,463.39833806983603,-30.818574652414704,36.59925646139107,39.337365595881316,False,,
prospective_evaluation_v2,,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,1,intact_patch_formation_pass,gate_secondary,binary,0.8366705562227342,,1.0,binary,1,5,True,,True,,-0.16332944377726577,0.16332944377726577,0.02667650720459102,,,,,0.02667650720459102,True
prospective_evaluation_v2,legacy_curve_maximum_v1,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,retest_priority,1,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,5,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,retest_v2_7371aa062562,v2_7371aa062562,retest_priority,2,viability_percent,primary,continuous,50.09737772279327,0.9992374487030832,44.629999999999995,percent,4,5,True,,True,,5.467377722793273,5.467377722793273,29.892219163696158,5.471550060387967,48.13887232333523,52.05588312225131,False,,
prospective_evaluation_v2,,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,retest_v2_7371aa062562,v2_7371aa062562,retest_priority,2,intact_patch_formation_pass,gate_secondary,binary,0.6117937075796632,,1.0,binary,1,5,True,,True,,-0.3882062924203368,0.3882062924203368,0.15070412547474402,,,,,0.15070412547474402,True
prospective_evaluation_v2,legacy_curve_maximum_v1,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,retest_v2_7371aa062562,v2_7371aa062562,retest_priority,2,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,5,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,cand_001149,v2_e520c20c7441,screening_candidate,3,viability_percent,primary,continuous,53.379627807029664,25.7532990357919,28.485,percent,4,5,True,,True,,24.894627807029664,24.894627807029664,619.7424936505346,0.9666578162444797,2.9031616968775396,103.8560939171818,True,,
prospective_evaluation_v2,,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,cand_001149,v2_e520c20c7441,screening_candidate,3,intact_patch_formation_pass,gate_secondary,binary,0.9874145748906062,,1.0,binary,1,5,True,,True,,-0.012585425109393755,0.012585425109393755,0.00015839292518415881,,,,,0.00015839292518415881,True
prospective_evaluation_v2,legacy_curve_maximum_v1,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,cand_001149,v2_e520c20c7441,screening_candidate,3,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,5,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,,ROUND_009,9,formal_frozen,True,mechanics_bootstrap,rescue_000027,v2_a5836ff741f8,rescue_candidate,4,viability_percent,primary,continuous,63.11232909226954,2.9171553972520927,56.879999999999995,percent,4,5,True,,True,,6.232329092269545,6.232329092269545,38.84192591434933,2.136440553746395,57.39470451365544,68.82995367088364,False,,
