selection_rank,candidate_id,formulation_id,formulation_description,selection_role,recommendation_type,viability_prediction_status,public_viability_mean,public_viability_std,empirical_combination_pass_probability,support_status,candidate_origin,mechanical_test_recommended,mechanical_selection_rank,mechanical_transition_role,selection_explanation,mechanical_selection_mode,mechanical_backup_status,batch_id,replicate_id,viability_percent,intact_patch_formation_pass,no_slurry,no_collapse,intact_tip_count,total_tip_count,instron_file,needles_compressed,critical_axial_load_N_per_needle,critical_axial_load_N_total,initial_stiffness_N_per_mm_per_needle,preparation_feasibility_pass,homogeneous_solution_pass,fillability_pass,preparation_failure_reason,notes,experimental_role,preparation_basis,preparation_id,specimen_id,readout_id,cell_batch_id,protocol_id,mechanical_test_id,mechanical_test_attempted,mechanical_definition_id,raw_file_hash,supplementary_analysis_file,dmso_M,ectoin_M,ethylene_glycol_M,glycerol_M,propylene_glycol_M,trehalose_M,sucrose_M,raffinose_M,taurine_M,myo_inositol_M,methoxyphenyl_beta_d_glucopyranoside_M,betaine_M,proline_M,glucose_M,creatine_M,acetamide_M,sericin_pct,methylcellulose_pct,dextran_pct,pvp_pct,hyaluronic_acid_pct,fbs_pct,hsa_pct,human_serum_pct,active_ingredient_count,rescue_scale_factor,rescue_anchor_formulation_id,rescue_anchor_viability_percent,active_polymer_count,total_polymer_pct,total_serum_protein_pct,total_polymer_serum_pct,total_sugar_M,total_nonpermeating_solute_M,total_viscosity_active_macromolecule_pct,total_permeating_cpa_M,crystalline_solute_saturation_burden,feasibility_policy_version,estimated_small_solute_g_L,feasibility_pass,feasibility_reasons,nearest_support_distance,source,source_row_id,formulation_label,source_type,predicted_viability_percent,viability_std,viability_prediction_label,viability_prediction_reason,raw_surrogate_viability_mean,raw_surrogate_viability_std,viability_surrogate_prior_mean,viability_surrogate_prior_std,viability_prior_reversion,viability_exact_observation_count,viability_exact_batch_count,viability_exact_observed_mean,viability_exact_observed_sources,predicted_critical_axial_load_N_per_needle,critical_axial_load_std,intact_patch_pass_probability,empirical_combination_weighted_passes,empirical_combination_weighted_failures,nearest_matching_intact_pass_distance,nearest_matching_intact_failure_distance,intact_combination_screening_penalty,intact_combination_policy_version,cold_start_ingredients,cold_start_ingredient_count,cold_start_prior_evidence_counts,cold_start_ordinary_exempt,cold_start_graduation_eligible,cold_start_graduation_priority,cold_start_graduation_reason,mechanical_feasibility_weight,same_formulation_range,local_neighbor_residual,retest_priority_score,viability_ucb,critical_axial_load_ucb,predicted_initial_stiffness_N_per_mm_per_needle,initial_stiffness_std,preparation_feasibility_probability,active_ingredient_excess_above_8,single_molar_excess_features,single_molar_excess_total_M,intact_failure_probability,acquisition_penalty,screening_acquisition_penalty,screening_phase_score,mechanics_phase_score,hybrid_phase_score,bootstrap_utility,prior_mechanical_observation_count,mechanical_repeat_status,mechanical_repeat_allowed,mechanics_anchor_source_batch,mechanics_anchor_selection_score,terminal_force_08mm_N_total,terminal_force_08mm_status,viability_percent__noise,observed_hit_mean,observed_hit_sd,mechanical_prediction_definition_id,mechanical_prediction_status,effective_intact_evidence,prior_only,mechanical_assignment,selection_reason
1,reference_control,reference_b5a5b7b1176f,DMSO + sucrose,,campaign_control,reference_not_modeled,,4.148218856047896,0.5,,campaign_control,True,2.0,campaign_control,,bootstrap_utility_diversity_with_actual_intact_backups,primary,ROUND_010,,,,,,,,,,,,,,,,,,campaign_control,2.5% v/v DMSO + 100 mM sucrose; final volume; common campaign base medium,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.3519774734416998,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.1,0.1,0.0,0.3519774734416998,0.01628664495114,round5_solubility_viscosity_v2,61.73,True,,,,,,,,4.148218856047896,,,,,,,,,,,,0.1934242422571832,0.0362981233333927,0.9999841021524034,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,,,,,,,,,,,40.49898178115509,0.2115733039238796,0.2292467090571998,0.0453872109619532,0.75,0,,0.0,1.5897847596590964e-05,1.2718278077272772e-05,0.0,0.5961505192275921,,,,0,intentional_followup,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,0.0,True,Primary 2,campaign control
2,followup_v2_3e8ef993abba,v2_3e8ef993abba,ectoin + ethylene glycol,,screened_hit_mechanics,observed_followup,65.31612902400254,0.9908980262924818,0.7944991589078668,,screened_hit_mechanics,True,1.0,screened_hit_mechanics,"First mechanics follow-up; prior batches=1, intact passing=1; mean viability=65.562",bootstrap_utility_diversity_with_actual_intact_backups,primary,ROUND_010,,,,,,,,,,,,,,,,,,screened_hit_mechanics,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.240084092433004,1.0651740493140032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.240084092433004,0.0,1.0651740493140032,0.060021023108251,round5_solubility_viscosity_v2,100.24570782119602,True,,,wetlab_feedback:ROUND_002,cand_001221,,,65.31612902400254,0.9908980262924818,,,65.31612902400254,0.9908980262924818,,,,,,,,0.1935853320754896,0.0362961134013455,0.9414633765902914,2.8661601319269803,0.0,0.0,,0.0,round6_empirical_combination_intact_v1,,,,,,,,,,,,65.66294333320491,0.2117333887761624,0.2294482746658705,0.0453846977408423,0.75,0,ethylene_glycol_M,0.5651740493140032,0.0585366234097085,0.1598641085905675,0.1130348098628006,0.8869651901371993,,,,0,intentional_followup,False,,,,,1.0,65.5625,0.0,terminal_force_08mm_after_1N_v1,fitted,2.8661601319269803,False,Primary 1,screened hit mechanics
3,retest_v2_6f20e63adb1d,v2_6f20e63adb1d,ectoin + ethylene glycol + FBS,,retest_priority,observed_retest,45.06595846416256,0.5725408536008503,0.8192791299065127,in_support,retest,False,,,retest_priority: reason=cross_batch_disagreement+high_latest_batch_replicate_sd; feedback_batches=3; batch_range=33.1; latest_batch_n=4; latest_batch_sd=8.6; neighbor_residual=10.7; viability_std_tiebreak=0.6,,,ROUND_010,,,,,,,,,,,,,,,,,,retest_priority,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.1926978068289405,0.5834021671650074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8162824588637445,0.0,0.0,3,,,,0,0.0,5.8162824588637445,5.8162824588637445,0.0,0.1926978068289405,5.8162824588637445,0.5834021671650074,0.0481744517072351,round5_solubility_viscosity_v2,63.605692734734184,True,,0.0,,,,,45.06595846416256,0.5725408536008503,Observed formulation — retest,exact formulation has 12 viability observation(s) across 3 batch(es),45.06595846416256,0.5725408536008503,52.894636596548,25.707474329671825,False,12.0,3.0,44.958333333333336,wetlab_feedback,0.1944856206328837,0.0362085328298315,0.8445868769181224,5.745136476992496,0.4878774382553847,0.0,0.2300531837179172,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.8192791299065127,33.1125,10.678333333333327,2.2075,45.26634776292286,0.2125898870477995,0.2305747802282728,0.0452751869036301,0.75,0,ethylene_glycol_M,0.0834021671650073,0.1554131230818776,0.1410109318985035,0.0166804334330014,0.5145135608280279,,,,0,unmeasured,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,6.233013915247881,False,Screen only,Repeat a tested formulation
4,retest_v2_4d49c0b641bb,v2_4d49c0b641bb,glucose + creatine + methylcellulose,,retest_priority,observed_retest,3.5171400089573694,0.9992442834123352,0.6666666666666666,in_support,retest,False,,,retest_priority: reason=single_batch_neighbor_anomaly_confirmation; feedback_batches=1; batch_range=0.0; latest_batch_n=4; latest_batch_sd=0.8; neighbor_residual=37.0; viability_std_tiebreak=1.0,,,ROUND_010,,,,,,,,,,,,,,,,,,retest_priority,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777292282921723,0.0221433251168448,0.0,0.0,0.740774760113165,0.0,0.0,0.0,0.0,0.0,0.0,3,,,,1,0.740774760113165,0.0,0.740774760113165,0.2777292282921723,0.2998725534090171,0.740774760113165,0.0,0.3227699701697272,round5_solubility_viscosity_v2,52.93935199168962,True,,0.0,,,,,3.5171400089573694,0.9992442834123352,Observed formulation — retest,exact formulation has 4 viability observation(s) across 1 batch(es),3.5171400089573694,0.9992442834123352,52.894636596548,25.707474329671825,False,4.0,1.0,3.4425,wetlab_feedback,0.1934112384227048,0.036296730203869,0.9406225071543556,1.0,0.0,0.0,,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.6666666666666666,0.0,37.01166666666666,1.8505833333333332,3.866875508151687,0.2115596035246393,0.2292304399739145,0.0453854689913557,0.75,0,,0.0,0.0593774928456444,0.0475019942765155,0.0,0.0483623126595602,,,,0,unmeasured,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,1.0,False,Screen only,Repeat a tested formulation
5,rescue_000010,v2_a288e68df07e,ectoin + ethylene glycol + FBS,,rescue_candidate,model_supported,38.00527463623064,4.09416325063165,0.8249905584177656,in_support,rescue_dilution,False,10.0,bootstrap_coverage,rescue_dilution: scaled down a high-viability failed-patch formulation,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,ROUND_010,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.080090186999108,0.2510238029936667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3,0.25,v2_27a2b16cc327,53.0,0,0.0,2.5,2.5,0.0,0.080090186999108,2.5,0.2510238029936667,0.020022546749777,round5_solubility_viscosity_v2,26.966668435610096,True,,0.1150971106127024,,,,,38.00527463623064,4.09416325063165,Model estimate,candidate has a non-prior-reverted surrogate estimate,38.00527463623064,4.09416325063165,52.894636596548,25.707474329671825,False,0.0,0.0,,,0.1944164682220349,0.0362128808994903,0.9544997254541622,3.7139774343552463,0.0,0.0664513477951918,0.41041928550681,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.8249905584177656,,,,39.43823177395171,0.2125229086717801,0.2304882677919174,0.045280623734429,0.75,0,,0.0,0.0455002745458378,0.0364002196366702,0.0,0.4632221364024055,,,,0,unmeasured,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,3.7139774343552463,False,Backup 10,Dilute a tested formulation
6,cand_000461,v2_211d2693ca45,ectoin + ethylene glycol,,,model_supported,82.43213414353549,8.66023234559118,0.7997239114085399,in_support,local_perturbation,True,3.0,bootstrap_coverage,,bootstrap_utility_diversity_with_actual_intact_backups,primary,ROUND_010,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.4110977373526631,1.0914486465471067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.4110977373526631,0.0,1.0914486465471067,0.1027744343381657,round5_solubility_viscosity_v2,126.1878718332335,True,,0.131304930002495,,,,,82.43213414353549,8.66023234559118,Model estimate,candidate has a non-prior-reverted surrogate estimate,82.43213414353549,8.66023234559118,52.894636596548,25.707474329671825,False,0.0,0.0,,,0.1935857578471392,0.0362961047102684,0.9509867549046432,2.9931073001924045,0.0,0.0928466064079891,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.7997239114085399,,,,85.46321546449241,0.2117338102022734,0.2294488074190841,0.0453846868735105,0.75,0,ethylene_glycol_M,0.5914486465471067,0.0490132450953566,0.1575003253857066,0.1182897293094213,0.8817102706905786,,,,0,unmeasured,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,2.9931073001924045,False,Primary 3,Explore near a tested formulation
7,cand_000304,v2_55f87bb2c839,ectoin + ethylene glycol + glycerol,,,model_supported,80.7351200638173,8.675035811298036,0.637745569833765,in_support,local_perturbation,True,4.0,bootstrap_coverage,,bootstrap_utility_diversity_with_actual_intact_backups,primary,ROUND_010,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.3585205291391078,1.5330693248584275,0.1230991577776128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,,,0,0.0,0.0,0.0,0.0,0.3585205291391078,0.0,1.6561684826360403,0.0896301322847769,round5_solubility_viscosity_v2,157.46109285611854,True,,0.118562243114169,,,,,80.7351200638173,8.675035811298036,Model estimate,candidate has a non-prior-reverted surrogate estimate,80.7351200638173,8.675035811298036,52.894636596548,25.707474329671825,False,0.0,0.0,,,0.193426532313209,0.0362981229228058,0.7355235257053749,0.760490740005884,0.0,0.0838282409979405,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.637745569833765,,,,83.77138259777162,0.211575593774612,0.2292495745481471,0.0453872104485549,0.75,0,ethylene_glycol_M,1.0330693248584275,0.264476474294625,0.4181950444073856,0.2066138649716855,0.773654711811119,,,,0,unmeasured,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,0.760490740005884,False,Primary 4,Explore near a tested formulation
8,cand_000144,v2_a409fb1db800,trehalose,,,model_supported,53.29355304663752,21.949200020137223,0.5,in_support,local_perturbation,False,7.0,bootstrap_coverage,,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,ROUND_010,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.0,0.0,0.0,0.0,0.2386521498704275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,0,0.0,0.0,0.0,0.2386521498704275,0.2386521498704275,0.0,0.0,0.1754795219635496,round5_solubility_viscosity_v2,81.69063090064736,True,,0.0226957002591448,,,,,53.29355304663752,21.949200020137223,Model estimate,candidate has a non-prior-reverted surrogate estimate,53.29355304663752,21.949200020137223,52.894636596548,25.707474329671825,False,0.0,0.0,,,0.1932606062723164,0.0362917590649744,0.8911001313752968,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,60.97577305368554,0.2114064858048036,0.2290421701748681,0.0453792530741399,0.75,0,,0.0,0.1088998686247032,0.0871198948997626,0.0,0.7144090889717463,,,,0,unmeasured,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,0.0,True,Backup 7,Explore near a tested formulation
9,cand_000107,v2_c60ceb90bc67,glycerol + acetamide,,,unknown_prior_reversion,,,0.5906117823964999,in_support,local_perturbation,False,8.0,bootstrap_coverage,,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,ROUND_010,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.0,0.0,0.3827048614052893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2054197020904849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.2054197020904849,0.0,0.3827048614052893,0.0172115376699191,round5_solubility_viscosity_v2,47.377432489298045,True,,0.2758646595196971,,,,,,,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,51.86898913765614,25.69018254363421,52.894636596548,25.707474329671825,True,0.0,0.0,,,0.1935557103727651,0.0362949050847256,0.8212019471205123,0.4426692244682975,0.0,0.1950657714360958,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5906117823964999,,,,60.86055302792812,0.2117031629151279,0.2294112186703632,0.045383186860491,0.75,0,,0.0,0.1787980528794877,0.1430384423035901,0.0,0.7130653066537431,,,,0,unmeasured,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,0.4426692244682975,False,Backup 8,Explore near a tested formulation
10,cand_001096,v2_d3e3aa3e830f,acetamide + dextran,,,unknown_prior_reversion,,,0.5,in_support,sparse_exploration,False,6.0,bootstrap_coverage,,bootstrap_utility_diversity_with_actual_intact_backups,ordered_backup,ROUND_010,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2555827389810611,0.0,0.0,3.8146326658274754,0.0,0.0,0.0,0.0,0.0,2,,,,1,3.8146326658274754,0.0,3.8146326658274754,0.0,0.2555827389810611,3.8146326658274754,0.0,0.0214145570993767,round5_solubility_viscosity_v2,15.09727239161128,True,,0.4413408494259898,,,,,,,Unknown — surrogate prior reversion,surrogate mean and uncertainty are indistinguishable from the training prior,52.82133142862415,25.70744870367142,52.894636596548,25.707474329671825,True,0.0,0.0,,,0.193429372149212,0.0362981165991586,0.91566250074059,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5,,,,61.818938474909146,0.2115784304487913,0.2292531280254677,0.0453872025414599,0.75,0,,0.0,0.0843374992594101,0.0674699994075281,0.0,0.7242427162144386,,,,0,unmeasured,True,,,,,,,,terminal_force_08mm_after_1N_v1,fitted,0.0,True,Backup 6,Explore ingredient combinations
