formulation_id,batch_id,replicate_id,experimental_role,mechanical_definition_id,status,reason,endpoint_N_total,endpoint_N_per_needle,apparent_secant_stiffness_N_per_mm_total,apparent_secant_stiffness_N_per_mm_per_needle,stiffness_definition_id,stiffness_formula,stiffness_qc,loaded_needle_count,trigger_time_s,loading_duration_s,source_file,source_file_hash
v2_958a475d561d,ROUND_009,mechanical_001,,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,21.50895,0.2150895,25.6355625,0.256355625,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,21.9,63.987500000000004,/Users/doggonebastard/Documents/City U/Research/ML for Cryo Formulation/Multi-objective/Group9/group_9-1.is_comp_Exports/group_9-1_3.csv,6b76817c4e45f5cd13e6adf418e097db17de00e6950a0bdc64ccc0ae8414bef3
v2_058f0d84ea0e,ROUND_009,mechanical_001,,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,15.135425,0.15135425,17.66378125,0.1766378125,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,9.925,64.00625000000001,/Users/doggonebastard/Documents/City U/Research/ML for Cryo Formulation/Multi-objective/Group9/group_9-1.is_comp_Exports/group_9-1_4.csv,c8282515e45af16f46557ffcab28ab3b7fdb7fd76b8f5e30f908932255d128d2
v2_f87d5e9bf5a4,ROUND_009,mechanical_001,,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,30.522466666666638,0.30522466666666637,36.901708333333296,0.36901708333333294,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,145.0,64.01666666666665,/Users/doggonebastard/Documents/City U/Research/ML for Cryo Formulation/Multi-objective/Group9/group_9-1.is_comp_Exports/group_9-1_1.csv,a9d37af4b2acde11264115fcfb7bef82161d42e10938c2fc4dbd8dab5821c225
v2_f87d5e9bf5a4,ROUND_009,mechanical_002,,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,17.716533333333334,0.17716533333333334,20.89154166666667,0.2089154166666667,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,81.9,64.01666666666668,/Users/doggonebastard/Documents/City U/Research/ML for Cryo Formulation/Multi-objective/Group9/group_9-1.is_comp_Exports/group_9-1_5.csv,fecfdc272e9d423dec3c10476cb881c08597fc34b81570d5d912e569c15d90d7
v2_a4c0156ecbf5,ROUND_009,mechanical_001,,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,21.067166666666672,0.21067166666666673,25.07920833333334,0.2507920833333334,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,25.45,64.00833333333334,/Users/doggonebastard/Documents/City U/Research/ML for Cryo Formulation/Multi-objective/Group9/group_9-1.is_comp_Exports/group_9-1_2.csv,79d0085777a69b241e0aecfb8f846de17ec9f872695857e4dba45a777a7b9804
v2_a4c0156ecbf5,ROUND_009,mechanical_002,,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,12.144466666666666,0.12144466666666666,13.926208333333332,0.13926208333333331,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,67.65,63.991666666666674,/Users/doggonebastard/Documents/City U/Research/ML for Cryo Formulation/Multi-objective/Group9/group_9-1.is_comp_Exports/group_9-1_6.csv,1c039323c20ff8c8b939f4fcce55342f1d9e41b8c527c2f621b5ea82fd64a04e
reference_b5a5b7b1176f,ROUND_010,mechanical_001,campaign_control,terminal_force_08mm_after_1N_v1,incomplete_test,Trace does not reach +0.8 mm after trigger,,,,,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,not_calculated,100,179.075,,/Users/doggonebastard/Antigravity/ML for CryoMN/data/raw/instron/ROUND_010/Group10_1.csv,f26ef65ee280620396c41a50b010791658f78b8e720fd552cccaac2c4dbba318
v2_3e8ef993abba,ROUND_010,mechanical_001,screened_hit_mechanics,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,19.379825000000004,0.19379825000000003,22.95803125,0.22958031250000002,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,4.825,64.00625000000001,/Users/doggonebastard/Antigravity/ML for CryoMN/data/raw/instron/ROUND_010/Group10_2.csv,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
v2_211d2693ca45,ROUND_010,mechanical_001,ordinary,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,31.2307,0.312307,37.781375,0.37781374999999995,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,43.05,64.0,/Users/doggonebastard/Antigravity/ML for CryoMN/data/raw/instron/ROUND_010/Group10_3.csv,559489fd2804c5ba4ed5831c315843f0cb38bd6f0cee9a46064a8925e6f4a0ab
v2_55f87bb2c839,ROUND_010,mechanical_001,ordinary,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,10.9429,0.109429,12.427375,0.12427375,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,23.95,64.0,/Users/doggonebastard/Antigravity/ML for CryoMN/data/raw/instron/ROUND_010/Group10_4.csv,694e94943eba5ec86f88e0f45b9a3be0ea739723f70d5cd41dfd57894d84bdea
reference_b5a5b7b1176f,ROUND_010,mechanical_002,campaign_control,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,63.5854,0.635854,78.22749999999999,0.7822749999999999,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,24.575,64.00833333333333,/Users/doggonebastard/Antigravity/ML for CryoMN/data/raw/instron/ROUND_010/Group10_5.csv,876a82dbf67375c031869ee285b46f05282b359882d403184d86d48008dd2714
v2_3e8ef993abba,ROUND_010,mechanical_002,screened_hit_mechanics,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,16.361766666666664,0.16361766666666663,19.197833333333328,0.19197833333333328,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,16.775,64.01666666666668,/Users/doggonebastard/Antigravity/ML for CryoMN/data/raw/instron/ROUND_010/Group10_6.csv,8703516edff364de7eff194680423f3411938d78165d9731209dc23172196649
v2_211d2693ca45,ROUND_010,mechanical_002,ordinary,terminal_force_08mm_after_1N_v1,complete,Interpolated force at +0.8 mm after sustained 1 N,23.171400000000002,0.23171400000000003,27.70725,0.2770725,apparent_secant_stiffness_08mm_after_1N_v1,(terminal_force_N-trigger_force_N)/0.8_mm,ok,100,42.075,63.983333333333334,/Users/doggonebastard/Antigravity/ML for CryoMN/data/raw/instron/ROUND_010/Group10_7.csv,690f83f9bda335bef418db54d015978cdaf4146ad90eb1032d625ae0dd41ebfa
