formulation_id,candidate_id,selection_rank,recommendation_type,selection_explanation,mechanical_test_recommended,mechanical_selection_rank,mechanical_selection_mode,mechanical_backup_status,mechanical_transition_role,batch_id,replicate_id,viability_percent,intact_patch_formation_pass,no_slurry,no_collapse,intact_tip_count,total_tip_count,instron_file,needles_compressed,critical_axial_load_N_per_needle,critical_axial_load_N_total,initial_stiffness_N_per_mm_per_needle,preparation_feasibility_pass,homogeneous_solution_pass,fillability_pass,preparation_failure_reason,notes,experimental_role,preparation_basis,preparation_id,specimen_id,readout_id,cell_batch_id,protocol_id,mechanical_test_id,mechanical_test_attempted,mechanical_definition_id,raw_file_hash,supplementary_analysis_file,dmso_M,ectoin_M,ethylene_glycol_M,glycerol_M,propylene_glycol_M,trehalose_M,sucrose_M,raffinose_M,taurine_M,myo_inositol_M,methoxyphenyl_beta_d_glucopyranoside_M,betaine_M,proline_M,glucose_M,creatine_M,acetamide_M,sericin_pct,methylcellulose_pct,dextran_pct,pvp_pct,hyaluronic_acid_pct,fbs_pct,hsa_pct,human_serum_pct,active_ingredient_count,candidate_origin,rescue_scale_factor,rescue_anchor_formulation_id,rescue_anchor_viability_percent,active_polymer_count,total_polymer_pct,total_serum_protein_pct,total_polymer_serum_pct,total_sugar_M,total_nonpermeating_solute_M,total_viscosity_active_macromolecule_pct,total_permeating_cpa_M,crystalline_solute_saturation_burden,feasibility_policy_version,estimated_small_solute_g_L,feasibility_pass,feasibility_reasons,nearest_support_distance,support_status,source,source_row_id,formulation_label,source_type,predicted_viability_percent,viability_std,viability_prediction_status,viability_prediction_label,viability_prediction_reason,raw_surrogate_viability_mean,raw_surrogate_viability_std,viability_surrogate_prior_mean,viability_surrogate_prior_std,viability_prior_reversion,viability_exact_observation_count,viability_exact_batch_count,viability_exact_observed_mean,viability_exact_observed_sources,predicted_critical_axial_load_N_per_needle,critical_axial_load_std,intact_patch_pass_probability,empirical_combination_pass_probability,empirical_combination_weighted_passes,empirical_combination_weighted_failures,nearest_matching_intact_pass_distance,nearest_matching_intact_failure_distance,intact_combination_screening_penalty,intact_combination_policy_version,cold_start_ingredients,cold_start_ingredient_count,cold_start_prior_evidence_counts,cold_start_ordinary_exempt,cold_start_graduation_eligible,cold_start_graduation_priority,cold_start_graduation_reason,mechanical_feasibility_weight,same_formulation_range,local_neighbor_residual,retest_priority_score,viability_ucb,critical_axial_load_ucb,predicted_initial_stiffness_N_per_mm_per_needle,initial_stiffness_std,preparation_feasibility_probability,active_ingredient_excess_above_8,single_molar_excess_features,single_molar_excess_total_M,intact_failure_probability,acquisition_penalty,screening_acquisition_penalty,screening_phase_score,mechanics_phase_score,hybrid_phase_score,bootstrap_utility,prior_mechanical_observation_count,mechanical_repeat_status,mechanical_repeat_allowed,mechanics_anchor_source_batch,mechanics_anchor_selection_score,selection_role,mechanical_pair_intact_patch_formation_pass,mechanical_pair_viability_percent,terminal_force_08mm_N_total,terminal_force_08mm_status,mechanical_pair_viability_percent__noise,viability_percent__noise,observed_hit_mean,observed_hit_sd,mechanical_reference_eligible,mechanical_prediction_definition_id,mechanical_prediction_status
reference_b5a5b7b1176f,reference_control,1,campaign_control,,False,,,,,ROUND_011,,,,,,,,,,,,,,,,,,campaign_control,2.5% v/v DMSO + 100 mM sucrose; final volume; common campaign base medium,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.3519774734416998,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,campaign_control,,,,0,0.0,0.0,0.0,0.1,0.1,0.0,0.3519774734416998,0.01628664495114,round5_solubility_viscosity_v2,61.73,True,,,,,,,,,18.056166221200353,reference_not_modeled,,,,,,,,,,,,0.4410055099659174,0.109592877070112,0.9999907580707726,0.5,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,,,,,,,,,,,,38.567490719944615,0.4958019485009734,0.538713327616417,0.1369907735038921,0.75,0,,0.0,9.241929227354896e-06,7.393543381883916e-06,0.0,0.4693381588342579,,,,0,intentional_followup,False,,,,,,,,,,,,False,terminal_force_08mm_after_1N_v1,fitted
v2_430e18c49d10,followup_v2_430e18c49d10,2,screened_hit_mechanics,"First mechanics follow-up; prior batches=1, intact passing=1; mean viability=65.000",True,1.0,hybrid_2qlognehvi_1local_1coverage_with_actual_intact_backups,primary,screened_hit_mechanics,ROUND_011,,,,,,,,,,,,,,,,,,screened_hit_mechanics,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.1517574580386533,0.973904413625442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658414069854614,0.0,3,screened_hit_mechanics,,,,0,0.0,4.658414069854614,4.658414069854614,0.0,0.1517574580386533,4.658414069854614,0.973904413625442,0.0379393645096633,round5_solubility_viscosity_v2,82.02408718850614,True,,,,wetlab_feedback:ROUND_003,rescue_000002,,,51.16402515259088,7.386491058383189,observed_followup,,,51.16402515259088,7.386491058383189,,,,,,,,0.2409482593699967,0.1538648631125029,0.806921279060774,0.6907212364584164,2.2161350147527736,0.4400632386020652,0.0,0.1959778664892771,0.0,round6_empirical_combination_intact_v1,,,,,,,,,,,,53.749297023024994,0.3178806909262482,0.2886356932781845,0.1923308234000761,0.75,0,ethylene_glycol_M,0.473904413625442,0.1930787209392259,0.2492438594764691,0.0947808827250884,0.695987844769306,,,,0,intentional_followup,False,,,,,,,,,1.0,65.0,0.0,False,terminal_force_08mm_after_1N_v1,fitted
v2_3e8ef993abba,retest_v2_3e8ef993abba,3,retest_priority,retest_priority: reason=cross_batch_disagreement; feedback_batches=2; batch_range=49.6; latest_batch_n=4; latest_batch_sd=6.4; neighbor_residual=39.6; viability_std_tiebreak=5.8,False,,,,,ROUND_011,,,,,,,,,,,,,,,,,,retest_priority,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.240084092433004,1.0651740493140032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,retest,,,,0,0.0,0.0,0.0,0.0,0.240084092433004,0.0,1.0651740493140032,0.060021023108251,round5_solubility_viscosity_v2,100.24570782119602,True,,0.0,in_support,,,,,45.54193592615744,5.798517316886626,observed_retest,Observed formulation — retest,exact formulation has 8 viability observation(s) across 2 batch(es),45.54193592615744,5.798517316886626,32.24781512605041,25.926660554332383,False,8.0,2.0,40.76125,wetlab_feedback,0.2172520354949584,0.1040736634839104,0.9561180483111577,0.8380523399334627,4.174834508810705,0.0,0.0,,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.8380523399334627,49.6025,39.59583333333334,3.306833333333333,47.57141698706776,0.2692888672369137,0.2589911349942774,0.1300917720940679,0.75,0,ethylene_glycol_M,0.5651740493140032,0.0438819516888423,0.1481403712138745,0.1130348098628006,0.5006495662170966,-11.64414406671243,0.291546862303581,,1,previously_measured,False,,,,,,,,,,,,,terminal_force_08mm_after_1N_v1,fitted
v2_c60ceb90bc67,retest_v2_c60ceb90bc67,4,retest_priority,retest_priority: reason=high_latest_batch_replicate_sd; feedback_batches=1; batch_range=0.0; latest_batch_n=4; latest_batch_sd=18.4; neighbor_residual=9.9; viability_std_tiebreak=7.8,False,,,,,ROUND_011,,,,,,,,,,,,,,,,,,retest_priority,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.0,0.0,0.3827048614052893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2054197020904849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,retest,,,,0,0.0,0.0,0.0,0.0,0.2054197020904849,0.0,0.3827048614052893,0.0172115376699191,round5_solubility_viscosity_v2,47.377432489298045,True,,0.0,in_support,,,,,42.51671658668101,7.831855531535438,observed_retest,Observed formulation — retest,exact formulation has 4 viability observation(s) across 1 batch(es),42.51671658668101,7.831855531535438,32.24781512605041,25.926660554332383,False,4.0,1.0,27.770000000000003,wetlab_feedback,0.2462115289353562,0.1549875985006837,0.8899520611159887,0.709527713876013,1.4426692244682977,0.0,0.0,,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.709527713876013,0.0,9.920000000000002,2.29962927265824,45.25786602271841,0.3237053281856981,0.2952187863557833,0.1937342431984101,0.75,0,,0.0,0.1100479388840113,0.088038351107209,0.0,0.5643964214426057,-0.548520783258501,0.7696355030505277,,0,unmeasured,True,,,,,,,,,,,,,terminal_force_08mm_after_1N_v1,fitted
v2_e12062bdbe84,rescue_000012,5,rescue_candidate,rescue_dilution: scaled down a high-viability failed-patch formulation,True,3.0,hybrid_2qlognehvi_1local_1coverage_with_actual_intact_backups,primary,hybrid_qlognehvi,ROUND_011,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.2402705609973241,0.7530714089810002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,3,rescue_dilution,0.75,v2_27a2b16cc327,53.0,0,0.0,7.5,7.5,0.0,0.2402705609973241,7.5,0.7530714089810002,0.060067640249331,round5_solubility_viscosity_v2,80.90000530683028,True,,0.2049578971372103,in_support,,,,,49.37728584293819,11.539696990311583,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,49.37728584293819,11.539696990311583,32.24781512605041,25.926660554332383,False,0.0,0.0,,,0.2450423107867644,0.154928173611456,0.7456151184245806,0.7158623467100089,4.042479264616171,1.0014437574433286,0.1183324970847079,0.1809602388752041,0.0,round6_empirical_combination_intact_v1,,0.0,,True,False,,ineligible:special_origin_exemption,0.7158623467100089,,,,53.41617978954724,0.3225063975924924,0.2937567258629097,0.1936599620734199,0.75,0,ethylene_glycol_M,0.2530714089810002,0.2543848815754194,0.2541221870565355,0.0506142817962,0.6875870849674767,-0.087694468703686,0.8546230376456554,,0,unmeasured,True,,,,,,,,,,,,,terminal_force_08mm_after_1N_v1,fitted
v2_6d7821323078,cand_000002,6,,,True,2.0,hybrid_2qlognehvi_1local_1coverage_with_actual_intact_backups,primary,hybrid_qlognehvi,ROUND_011,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0121040520289899,0.1950997673133311,1.2870262899076446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.841137335482054,0.0,0.0,4,local_perturbation,,,,0,0.0,4.841137335482054,4.841137335482054,0.0,0.1950997673133311,4.841137335482054,1.2991303419366345,0.0487749418283327,round5_solubility_viscosity_v2,108.56679432085564,True,,0.1660727527425121,in_support,,,,,59.16156175173785,10.761234603074628,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,59.16156175173785,10.761234603074628,32.24781512605041,25.926660554332383,False,0.0,0.0,,,0.241521994912643,0.1538958186604073,0.7828715256122373,0.6978138164023517,1.309218138614403,0.0,0.1206121045423662,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.6978138164023517,,,,62.92799386281397,0.3184699042428466,0.2893524556064933,0.1923695179006127,0.75,0,ethylene_glycol_M,0.7870262899076446,0.2171284743877627,0.3311080374917391,0.1574052579815289,0.7834360625959031,0.3451115462808946,0.9237170501968066,,0,unmeasured,True,,,,,,,,,,,,,terminal_force_08mm_after_1N_v1,fitted
v2_971e40206f5d,cand_000153,7,,,False,5.0,hybrid_2qlognehvi_1local_1coverage_with_actual_intact_backups,ordered_backup,ordered_backup,ROUND_011,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.2761609851978834,0.4434958440943709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,local_perturbation,,,,0,0.0,0.0,0.0,0.0,0.2761609851978834,0.0,0.4434958440943709,0.0690402462994708,round5_solubility_viscosity_v2,66.78683269866872,True,,0.1053890084678395,in_support,,,,,53.744148000077615,10.475581743176786,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,53.744148000077615,10.475581743176786,32.24781512605041,25.926660554332383,False,0.0,0.0,,,0.2263535224458947,0.1281940864300144,0.9842347081078484,0.8308376927583085,3.911482388161361,0.0,0.0745212825501357,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.8308376927583085,,,,57.41060161018949,0.290450565660902,0.2703964997954847,0.1602423352273863,0.75,0,,0.0,0.0157652918921517,0.0126122335137213,0.0,0.82329864127018,-0.3188131503142942,0.9187092280693376,,0,unmeasured,True,,,,,,,,,,,,,terminal_force_08mm_after_1N_v1,fitted
v2_c15b8bb3f4dd,cand_000586,8,,,True,4.0,hybrid_2qlognehvi_1local_1coverage_with_actual_intact_backups,primary,hybrid_local,ROUND_011,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.0,0.0,0.3363840938139893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1906269973817868,0.0247853471788739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,local_perturbation,,,,0,0.0,0.0,0.0,0.1906269973817868,0.2154123445606608,0.0,0.3363840938139893,0.3160571135304527,round5_solubility_viscosity_v2,68.57107362319876,True,,0.0941815093895047,in_support,,,,,45.99883616019381,12.055088166922484,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,45.99883616019381,12.055088166922484,32.24781512605041,25.926660554332383,False,0.0,0.0,,,0.2462104480211402,0.1549875984776333,0.7332012872338635,0.728944518713824,1.6892816011501952,0.0,0.0543757197987158,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.728944518713824,,,,50.218117018616674,0.3237042472599569,0.295217435471182,0.1937342431695972,0.75,0,,0.0,0.2667987127661365,0.2134389702129092,0.0,0.6700697477893066,-0.1997817896220484,0.84067645449728,,0,unmeasured,True,,,,,,,,,,,,,terminal_force_08mm_after_1N_v1,fitted
v2_fa5fcee4e205,cand_000095,9,,,False,7.0,hybrid_2qlognehvi_1local_1coverage_with_actual_intact_backups,ordered_backup,ordered_backup,ROUND_011,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.0,0.0,0.350288448236456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2748057072146622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,local_perturbation,,,,0,0.0,0.0,0.0,0.0,0.2748057072146622,0.0,0.350288448236456,0.023025195409691,round5_solubility_viscosity_v2,48.490836323265334,True,,0.1393764780843835,in_support,,,,,38.32341163480627,14.285922495748506,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,38.32341163480627,14.285922495748506,32.24781512605041,25.926660554332383,False,0.0,0.0,,,0.2462092729294956,0.154987598429711,0.948177836214297,0.708962513227043,1.4359834916390537,0.0,0.0985540527913658,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.708962513227043,,,,43.323484508318245,0.3237030721443512,0.2952159668954706,0.1937342431096942,0.75,0,,0.0,0.051822163785703,0.0414577310285624,0.0,0.5231863034023558,-0.5566555667898831,0.7470437367463441,,0,unmeasured,True,,,,,,,,,,,,,terminal_force_08mm_after_1N_v1,fitted
v2_dfc7f8accc23,cand_000016,10,,,False,6.0,hybrid_2qlognehvi_1local_1coverage_with_actual_intact_backups,ordered_backup,ordered_backup,ROUND_011,,,,,,,,,,,,,,,,,,ordinary,,,,,,,,,terminal_force_08mm_after_1N_v1,,,0.0,0.0,0.0,0.305089950397874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709147264327037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,local_perturbation,,,,0,0.0,0.0,0.0,0.0,0.1709147264327037,0.0,0.305089950397874,0.0143204630442148,round5_solubility_viscosity_v2,38.19166642252003,True,,0.0756718262386109,in_support,,,,,37.61812710382091,16.10785925797219,model_supported,Model estimate,candidate has a non-prior-reverted surrogate estimate,37.61812710382091,16.10785925797219,32.24781512605041,25.926660554332383,False,0.0,0.0,,,0.2461938491951504,0.1549875956894023,0.9305372053828032,0.6820054779672906,1.1447082597766838,0.0,0.0535080614780919,,0.0,round6_empirical_combination_intact_v1,,0.0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.6820054779672906,,,,43.255877844111176,0.3236876470398516,0.2951966909528353,0.1937342396843057,0.75,0,,0.0,0.0694627946171968,0.0555702356937574,0.0,0.521746009131789,-0.5520205990811822,0.7464508456003696,,0,unmeasured,True,,,,,,,,,,,,,terminal_force_08mm_after_1N_v1,fitted
