batch_size,selection_order,recommendation_id,recommendation_type,origin,bucket_rank,predicted_viability,uncertainty,batch_utility,formulation
6,1,1,exploit,bo_candidate,1,74.58752892854424,12.578208195830188,0.8958190497369573,301.7mM ectoin + 1.87M ethylene_glycol + 4.9% fbs + 120.7mM raffinose
6,2,2,exploit,bo_candidate,2,73.72153968014786,13.162587418121522,0.8572694612878704,296.2mM ectoin + 1.88M ethylene_glycol + 4.9% fbs + 0.2% methylcellulose
6,3,3,exploit,bo_candidate,3,73.44926587516152,13.064547085803538,0.8518516658730552,9.6mM dmso + 295.8mM ectoin + 1.87M ethylene_glycol + 4.6% fbs + 0.2% methylcellulose
6,4,5,exploit,bo_candidate,5,72.13859350002456,12.402440576079792,0.8302947594706043,28.9mM dmso + 289.6mM ectoin + 1.69M ethylene_glycol + 5.0% fbs
6,5,16,explore,local_rank_probe,4,72.01372403625125,13.233264403018245,0.6083425742985245,296.2mM ectoin + 2.07M ethylene_glycol + 5.4% fbs + 0.2% methylcellulose
6,6,19,explore,blindspot_probe,7,52.14914736747361,20.670260407679795,0.7540985671582365,1.53M ethylene_glycol + 33.9% fbs + 1.4% hsa + 2.0% peg_3350 + 149.5mM proline + 5.4% pvp
7,1,1,exploit,bo_candidate,1,74.58752892854424,12.578208195830188,0.8958190497369573,301.7mM ectoin + 1.87M ethylene_glycol + 4.9% fbs + 120.7mM raffinose
7,2,2,exploit,bo_candidate,2,73.72153968014786,13.162587418121522,0.8572694612878704,296.2mM ectoin + 1.88M ethylene_glycol + 4.9% fbs + 0.2% methylcellulose
7,3,3,exploit,bo_candidate,3,73.44926587516152,13.064547085803538,0.8518516658730552,9.6mM dmso + 295.8mM ectoin + 1.87M ethylene_glycol + 4.6% fbs + 0.2% methylcellulose
7,4,5,exploit,bo_candidate,5,72.13859350002456,12.402440576079792,0.8302947594706043,28.9mM dmso + 289.6mM ectoin + 1.69M ethylene_glycol + 5.0% fbs
7,5,16,explore,local_rank_probe,4,72.01372403625125,13.233264403018245,0.6083425742985245,296.2mM ectoin + 2.07M ethylene_glycol + 5.4% fbs + 0.2% methylcellulose
7,6,19,explore,blindspot_probe,7,52.14914736747361,20.670260407679795,0.7540985671582365,1.53M ethylene_glycol + 33.9% fbs + 1.4% hsa + 2.0% peg_3350 + 149.5mM proline + 5.4% pvp
7,7,20,explore,blindspot_probe,8,49.99461759297749,20.81046309211322,0.7424132205514922,1.53M ethylene_glycol + 33.9% fbs + 1.4% hsa + 2.7% peg_3350 + 186.9mM proline + 9.0% pvp
8,1,1,exploit,bo_candidate,1,74.58752892854424,12.578208195830188,0.8958190497369573,301.7mM ectoin + 1.87M ethylene_glycol + 4.9% fbs + 120.7mM raffinose
8,2,2,exploit,bo_candidate,2,73.72153968014786,13.162587418121522,0.8572694612878704,296.2mM ectoin + 1.88M ethylene_glycol + 4.9% fbs + 0.2% methylcellulose
8,3,3,exploit,bo_candidate,3,73.44926587516152,13.064547085803538,0.8518516658730552,9.6mM dmso + 295.8mM ectoin + 1.87M ethylene_glycol + 4.6% fbs + 0.2% methylcellulose
